ID,TWEETS 
1,Sohum Spa at Movenpick HotelSpa Bangalore reveals Indian traditions for relaxation
2,Sohum Spa at Movenpick HotelSpa Bangalore reveals Indian traditions for relaxation
3,SalesMarketing Manager at Prestige Leisure Resorts Pvt Ltd
4,Assistant Front Office Manager at The LEELA PalaceBangalore
5,Associate Head of Sales at The LEELA PalaceBangalore
6,Housekeeping Attendant at The LEELA PalaceBangalore
7,Assistant Manager Front Office at The LEELA PalaceBangalore
8,Assistant Manager at ANI Technologies Pvt Ltd Olacabs
9,indiajob Training Manager at Park PlazaBangalore Job DescriptionTRAINING DEVOLPMNETUnderstaindiaHotel
10,indiajob Urgent Requirementat Banyan Projects India Pvt Ltd Escape Job DescriptionLookingindiaHotel
11,indiajob Sales Executive at Palm Grove Beach Hotel Pvt Ltd Job DescriptionExcellent inter personindiaHotel
12,indiajob Assistant Restaurant Manager at The LEELA PalaceBangalore Job DescriptionAssisting theindiaHotel
13,anf if you wanna travel inside India Goa for the beaches and Bangalore for everything P
14,indiajob Assistant FB Manager at The LEELA PalaceBangalore Job DescriptionResponsible for all FindiaHotel
15,Assistant FB Manager at The LEELA PalaceBangalore
16,Assistant Restaurant Manager at The LEELA PalaceBangalore
17,Sales Executive at Palm Grove Beach Hotel Pvt Ltd
18,Urgent Requirementat Banyan Projects India Pvt Ltd Escape
19,Carpool Bangaloretitanindustriesltd Hosur Daily travel from Hosur to Shivajinagar Bangalore anrideshare
20,Business Development Executive Hotel Industry at Lifeline Consultants
21,Urgent Opening for Credit Manager in a LeadingHotel in Banglore at Dimensions Consulting Group
22,Oracle DBA at Cleartrip
23,Sales Executive at Bharat Hotels Limited The Lalit
24,Restaurant Manager at The LEELA PalaceBangalore
25,Executive at Sterling Holiday Resorts I Ltd
26,Executivefleet at Carzonrent India Pvt Ltd
27,Training Manager at Park PlazaBangalore
28,Civil Engineer at Country Club India Limited
29,Indian Commie at Le Meridien
30,An Urgent Requirement for a ASM in a Leading Resort Company in India at Greyflex HR Services Pvt Limited
31,Bakery Commie at Le Meridien
32,Ive decided to combine business with pleasure this year and go to SAP TechEd Bangalore first and travel afterwards
33,indiajob Sr Executivesupervisor at Jobs for travel Job DescriptionClient relationship by ensuriindiaHotel
34,indiajob Reservations Agent at Bharat Hotels Limited The Lalit Job DescriptionHandling the dailindiaHotel
35,indiajob Assistant Manager Stores at Bharat Hotels Limited The Lalit Job DescriptionEnsure theindiaHotel
36,Reservations Agent at Bharat Hotels Limited The Lalit
37,Assistant Manager Stores at Bharat Hotels Limited The Lalit
38,Bangalore Railway Station Okalipuram Entry Moving to New Home Karnatakarsquos biggest Railway Station ie Ban
39,Saritar Life is a journey one needs to travel I begin tomorrow for three weeks Southern Sojourn Bangalore Sri Lanka and
40,Bangalore Railway Station Okalipuram Entry Moving to New Home
41,Bangalore Railway Station Okalipuram Entry Moving to New Home
42,Bangalore Railway Station Okalipuram Entry Moving to New Home
43,Bangalore Railway Station Okalipuram Entry Moving to New Home
44,Life is a journey one needs to travel I begin tomorrow for three weeks Southern Sojourn Bangalore Sri Lanka and Pondicherry
45,After kRpuram it is now in epip road Travel time forkm is at one hourmin Hatsoff to Bangalore planners
46,Sr Executivesupervisor at Jobs for travel
47,indiajob Revenue Manager five Star Hotel Experience Must at Excel Talent Plus Job DescriptionReindiaHotel
48,indiajob Training Manager LD HR Generalist at Team Lease Job DescriptionJob PurposeTo proindiaHotel
49,indiajob Training Manager LD HR Generalist at Team Lease Job DescriptionJob PurposeTo proindiaHotel
50,indiajob Banquet Sales Manager at Dimensions Consulting Group Job Description Responsible for effindiaHotel
