,AT5G57940 ,AT1G75010,AT2G36250,AT3G52750,AT4G37190,AT2G17950,AT1G20700,AT2G01500,AT2G28610,AT2G33880,AT3G03660,AT4G35550,AT5G43810,AT5G45980,AT5G46010,AT5G59340
Dry seed,-0.36,0.15,0.16,-2.8,0.27,0.27,-0.3,-0.45,-1.33,0.77,-0.44,-2.01,-0.04,-0.6,0.74,4.96
"Imbibed seed, 24 h",-0.2,0.06,0.16,-0.37,1.02,1.02,-1.28,1.82,-0.51,2.08,2.92,-0.55,0.88,-0.72,0.05,-0.15
1st Node,0.78,-0.4,-0.67,0,-0.18,-0.18,1.9,0,-1.24,-1.38,-0.7,0.75,0.23,-0.99,-1.08,-0.36
"Flower Stage 12, Stamens",-0.75,-0.71,-1.71,-1.3,-1.98,-1.98,0.01,0.28,0.26,0.13,0.57,-1.79,-1.08,-0.63,0.1,-0.46
Cauline Leaf,0.7,0.23,-0.23,-0.25,-0.39,-0.39,-0.24,-0.55,-0.13,-0.55,-0.66,0.53,-0.18,-0.22,-0.34,0.04
Cotyledon,0.21,0.49,0.35,1.01,0.08,0.08,0.19,0.85,-0.42,0.06,-0.7,-0.34,-0.7,-0.32,-0.52,1.53
Root,-0.19,-0.69,-1.4,-1.8,0.41,0.41,2.79,-0.36,-0.61,-0.37,0.82,0.12,0.15,-0.88,0,-0.18
Entire Rosette A. Trans. to Flow.,-0.09,0.55,0.25,0.82,0.5,0.5,-0.14,-0.36,-0.76,-0.04,-0.24,0.38,0.18,-0.52,-0.46,0.19
Flower Stage 9,-0.26,-0.15,0.23,0.46,0.39,0.39,-0.64,-0.25,0.8,1.56,-0.53,1,1.91,0.01,-0.81,-0.8
Flower Stage 10/11,-0.02,0.19,0.27,0.6,0.18,0.18,-0.61,0.55,1.17,1.79,-0.26,0.95,1.75,-1.08,-0.83,-0.22
Flower Stage 12,-0.06,-0.24,-0.11,0.23,0.14,0.14,-0.09,1.58,0.43,2.19,0.61,0.66,1.27,-0.62,-0.45,-0.66
Flower Stage 15,0.24,-0.06,-0.43,-0.55,-0.07,-0.07,-0.09,-0.15,0.11,0.5,-0.26,0.28,0.6,0.27,0.39,-0.3
"Flower Stage 12, Carpels",0.12,0.09,0.09,0.06,0.32,0.32,-0.37,2.77,-0.61,3.03,-1.03,0.94,1.93,-0.64,0.08,-0.31
"Flower Stage 12, Petals",-0.04,-0.23,0.38,0.72,-0.52,-0.52,-0.51,-0.22,2.48,-0.73,-0.5,0.52,0.54,-0.36,0.18,-0.58
"Flower Stage 12, Sepals",0.02,0.09,0.49,0.75,0.05,0.05,-0.28,-0.92,-0.06,-0.36,-1.08,0.17,-0.01,-0.92,-1.01,-0.17
"Flower Stage 15, Carpels",-0.03,0.02,0.16,0.33,0.45,0.45,0.04,-0.63,-0.55,0.85,-0.57,1.06,1.26,-1.76,-0.26,-0.25
"Flower Stage 15, Petals",0.5,-0.91,-0.8,-0.73,-0.88,-0.88,-0.35,-0.77,1.18,-0.87,-0.32,-0.54,-0.59,-0.19,-1.01,-0.54
"Flower Stage 15, Sepals",-0.27,-0.05,-0.48,-1.51,-0.41,-0.41,-0.31,-0.29,-0.5,-0.5,0.26,-0.07,-1.55,-0.25,-0.23,-0.29
"Flower Stage 15, Stamen",0.31,-1.16,-1.19,-0.87,-0.72,-0.72,0.26,0.55,0.45,-0.96,0.62,-0.92,-2.03,0.21,1.36,-0.62
"Flowers Stage 15, Pedicels",0.45,0.44,0.26,1.15,0.48,0.48,0.44,1.17,0.16,-0.18,-1.3,0.64,-0.45,-0.21,0.07,0.18
Leaf 1 + 2,0.12,0.56,0.79,1.3,-0.01,-0.01,-0.35,0.16,-0.54,0.16,-1.59,-0.51,-0.17,0.13,0.65,0.13
"Leaf 7, Petiole",0.25,0.31,0.28,0.83,0.54,0.54,0.29,0,-0.63,-0.38,0.06,0.28,-0.38,0.24,0.16,-0.21
"Leaf 7, Distal Half",0.72,0.56,0.45,1.14,-0.27,-0.27,-0.22,-0.22,-0.77,-0.16,0.05,-0.01,-1,-0.11,-0.22,0.78
"Leaf 7, Proximal Half",0.31,0.45,0.65,1.31,-0.36,-0.36,-0.38,-0.22,-0.32,-0.29,-0.08,-0.02,-1.22,0.03,-0.41,0.55
Hypocotyl,0.67,-0.19,-0.6,-0.39,0.46,0.46,1.03,-0.06,-0.54,-0.17,0.72,0.64,0.08,-0.68,-0.36,0.04
Root,-0.09,-0.28,-1.18,-1.24,0.59,0.59,2.34,-0.39,-0.73,-0.76,0.33,0.09,0.31,-0.08,0.09,-0.39
Rosette Leaf 2,0.97,0.28,-0.06,0.01,0.27,0.27,0.02,1.02,0.21,-0.56,0.58,-0.17,-1.12,0.09,0.07,0.99
Rosette Leaf 4,0.65,0.4,0.08,0.81,-0.3,-0.3,-0.24,-0.03,-1.34,-0.44,-0.61,-0.08,-0.95,-0.27,-0.6,1.31
Rosette Leaf 6,0.47,0.59,0.15,1.06,-0.12,-0.12,0.17,-0.39,-0.02,-0.08,0.57,0,-0.96,0.65,0.75,1.21
