# source: http://www.currentresults.com/Weather/US/average-annual-state-temperatures.php
# based on annual averages from 1971-2000, available through NOAA National Climatic Data Center of the United States

state,fahrenheit,celsius,rank
alabama,62.8,17.1,7
alaska,26.6,-3,50
arizona,60.3,15.7,10
arkansas,60.4,15.8,9
california,59.4,15.2,12
colorado,45.1,7.3,39
connecticut,49,9.4,29
delaware,55.3,12.9,16
florida,70.7,21.5,1
georgia,63.5,17.5,5
hawaii,70,21.1,2
idaho,44.4,6.9,40
illinois,51.8,11,23
indiana,51.7,10.9,25
iowa,47.8,8.8,36
kansas,54.3,12.4,19
kentucky,55.6,13.1,15
louisiana,66.4,19.1,3
main,41,5,48
maryland,54.2,12.3,20
massachusetts,47.9,8.8,35
michigan,44.4,6.9,40
minnesota,41.2,5.1,47
mississippi,63.4,17.4,6
missouri,54.5,12.5,18
montana,42.7,5.9,45
nebraska,48.8,9.3,30
nevada,49.9,9.9,28
new hampshire,43.8,6.6,42
new jersey,52.7,11.5,22
new mexico,53.4,11.9,21
new york,45.4,7.4,37
north carolina,59,15,13
north dakota,40.4,4.7,49
ohio,50.7,10.4,26
oklahoma,59.6,15.3,11
oregon,48.4,9.1,33
pennsylvania,48.8,9.3,30
rhode island,50.1,10.1,27
south carolina,62.4,16.9,8
south dakota,45.2,7.3,38
tennessee,57.6,14.2,14
texas,64.8,18.2,4
utah,48.6,9.2,32
vermont,42.9,6.1,44
virginia,55.1,12.8,17
washington,48.3,9.1,34
west virginia,51.8,11,23
wisconsin,43.1,6.2,43
wyoming,42,5.6,46
