section,test1,test2,test3,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10,hw11,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,quiz11,quiz12,quiz13,project1,project2,final
3,75,85,81,2,12,9,11,10,8,13,14,9,16,21,10,10,9,10,10,8,7,8,9,8,8,7,10,B+,A,89
2,68,84,96,2,12,9,9,10,8,12,13.5,5.7,9,27,10,10,10,10,10,10,10,10,10,10,10,10,10,B,B,94
3,98,93,100,2,12,9,5,10,8,13,17,9,15,28,10,10,8,10,9,10,9,10,10,,,,10,B+,A+,110
2,76,90,88,2,11.7,9,10,9,8,9.5,16.4,7.2,11,24,10,10,10,9,10,10,7,10,10,10,8,10,10,A-,A+,93
1,96,100,101,2,12,9,11,10,8,13,17,9,16,28,10,10,10,10,10,10,9,9,10,10,10,10,10,A+,A+,112
1,81,93,82,2,11.7,7,7,7,6,12,7.5,6.5,16,28,9,8,0,10,10,10,9,10,10,10,10,10,0,B+,B,91
2,19,72,65,2,2.7,8,1,9,7,11,17,6,16,18,5,10,10,9,10,9,9,7,10,0,10,5,10,A,A+,70
2,52,81,68,2,6,8,11,4,7,0,12.6,1,10.5,30,10,6,0,7,10,8,7,9,10,10,8,0,10,B+,A+,70
2,88,100,88,2,6.7,8.2,3,6,6,11.5,14,0,13.2,29,10,0,10,0,8,9,9,10,2,10,10,0,9,A,B-,71
3,70,83,71,2,10.7,8.8,9,9,8,7,15,6.3,14,17,9,8,10,10,10,10,9,10,10,10,10,10,10,C+,A+,67
1,56,71,63,2,12,9,11,10,8,13,17,9,15.4,28,10,6,10,10,10,9,10,10,6,10,10,7,10,A+,B+,65
3,83,84,94,2,10,9,9,8,8,11,0.5,0,16,28,,1,,10,8,8,6,,10,,10,10,10,A,C+,105
3,82,50,96,2,12,9,9,10,8,13,17,9,16,28,10,10,10,10,10,10,10,7,10,10,10,10,10,A-,A+,107
3,46,59,69,2,9.3,9,9,9,7,13,11.9,6.7,9.8,28,2,2,,,,,,1,5,,,,8,C,B-,56
3,74,97,95,2,12,9,11,10,8,13,17,9,16,30,8,10,10,10,10,9,10,10,8,7,10,10,10,A+,B-,102
1,37,34,0,2,9.7,7.8,8,9,4,8,9.2,0,0,0,10,6,9,9,5,6,6,0,0,0,0,0,0,,A+,0
3,90,75,84,2,11.7,9,7,8,7,13,17,8,13.2,20,9,10,10,10,7,10,10,10,8,10,10,10,10,A-,A+,89
1,91,90,94,2,11.7,9,9,10,8,12,15.8,7.7,14,30,9,10,10,10,10,10,9,10,10,10,10,6,10,A+,A+,101
1,94,85,99,2,12,9,11,10,8,13,17,9,15,0,9,10,10,10,10,10,10,10,10,0,0,0,10,A-,A-,110
1,46,56,76,2,11.7,9,10,9,0,8,6,6.3,12.5,27,3,10,10,10,8,9,5,8,9,10,10,8,8,A+,B+,68
1,58,84,87,2,12,9,11,9,8,13,17,8.7,16,23,8.5,7,10,10,10,0,9,10,10,7,7,10,10,A-,A+,100
2,45,62,81,2,10.7,8.7,7,5,7,8,16,6.3,13.2,18,8,10,10,9,10,10,10,10,10,10,8,10,10,B,B,52
1,73,87,85,2,12,9,11,9,8,13,9,9,16,25,10,9,10,10,8,9,8,10,10,7,10,10,10,A+,B+,66
1,69,82,81,2,11.7,8.7,6,10,7,12,17,7.3,16,23,10,10,10,10,9,9,10,10,9,10,10,10,10,B,C+,94
3,24,54,63,1,1,8.2,0,0,5,7.5,6.2,4.6,11.4,7,6,5,6,10,9,9,6,10,10,,,,10,A+,A+,39
1,35,88,88,2,11.3,8.5,9,10,8,11.5,15.3,8.3,16,28,6,7,8,9,10,9,9,6,9,10,9,9,10,B,C-,102
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3,68,77,72,2,8.7,8.8,9,8,7,10,7.5,5,12.7,23,4,6,4,10,10,8,6,6,9,6,10,8,10,B+,A+,66
2,86,82,75,2,11.7,9,9,3,8,12,14,4.5,0,27,10,10,9,9,10,10,8,9,10,10,9,9,10,C+,C-,73
3,73,67,92,2,12,9,8,10,8,13,14,8.1,16,24,10,10,9,10,8,9,,8,7,10,9,10,10,B+,C+,100
3,97,98,97,2,12,9,11,10,8,13,17,9,16,28,10,10,10,9,10,10,10,8,10,10,4,10,10,A+,A-,98
3,78,74,85,2,12,9,11,10,8,13,17,9,16,28,10,10,10,10,7,10,7,10,7,7,9,8,10,C+,B,56
3,44,60,74,1,8.7,7.7,9,9,7,8,9.8,6.7,7,23,7,9,10,10,8,9,10,10,8,10,8,6,7,B-,D+,35
3,62,84,77,2,11.7,9,8,9,8,13,16.5,7.7,16,23,10,10,10,10,10,10,9,10,,,,,10,B+,B+,85
2,65,72,87,2,9,9,9,9,8,11,10.5,3,15.5,0,8.5,10,8,8,6,5,7,8,9,7,10,0,7,B-,A-,86
3,44,67,72,2,5.7,6.8,7,10,7,0,11.1,3,14.8,28,6,10,1,4,10,4,4,7,10,10,10,5,,B-,A-,49
1,37,51,78,2,11.7,7.7,9,9,0,9,2,4,6,28,10,9.5,10,8.5,9,8,9,7,10,10,6.75,10,9,A+,A+,63
1,87,85,98,2,12,8.7,6,2,7,13,12.2,2,0,28,9,10,8,10,10,8,0,0,10,0,0,9,10,C-,B-,97
2,57,71,102,2,4,9,6,10,8,12.5,17,9,16,25,10,7,10,10,10,10,9,10,10,10,10,10,10,A+,B+,87
3,55,63,77,2,10.3,8.8,11,8,8,11,12.8,6.2,16,19,7,10,9,10,9,10,6,10,10,10,10,,10,B-,C+,87
1,55,68,59,2,11.7,9,9,8,8,8.5,9,5.3,8,21,7,10,10,8,10,8,8,8,10,10,0,10,7,B,C-,75
3,41,75,76,2,8.7,3.3,11,9,8,13,16,4.9,16,28,10,8,1,10,10,10,10,10,10,10,10,10,10,C+,A-,57
3,52,35,73,2,9.7,8.7,10,9,7,11,3.2,3.7,12,23,9,10,0,10,10,10,10,10,6,10,10,9,10,B,B,57
2,92,99,99,2,12,9,11,10,8,13,17,9,16,30,10,9,9,7,10,10,9.5,9,10,10,10,10,10,A+,A+,104
3,37,70,83,2,9.7,7.8,8,8,8,10.5,15.9,7.3,12.8,28,8,9,10,9,10,10,8,10,10,10,10,10,10,B+,A+,52
2,52,68,66,2,8.7,9,9,10,7,10,14.1,7.7,10.5,28,9,7,9,9,10,8,7,10,10,10,10,9,10,B+,A+,35
2,75,80,75,2,10,8.8,9,8,6,11,0,3,14,30,9.5,10,9.5,10,9,9,0,8,10,0,0,9,5,A-,D,80
3,38,75,101,2,12,9,7,10,8,13,17,9,16,30,9,10,10,10,10,9,10,10,10,10,10,10,10,A-,A+,69
