TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
2624,3440,W 22ND AV,DUNBAR - SOUTHLANDS,4,W 22ND AV,3400,EVEN,N,1,3.00,,12,N,Y,AUTUMN FLAME,ACER,RUBRUM,AUTUMN FLAME RED MAPLE
333,3502,W 16TH AV,DUNBAR - SOUTHLANDS,7,W 16TH AV,3500,EVEN,N,1,3.00,20100204,12,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE
1301,3368,DUNBAR ST,DUNBAR - SOUTHLANDS,7,DUNBAR ST,3300,EVEN,N,1,3.00,20081119,C,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
1078,3777,QUESNEL DRIVE,DUNBAR - SOUTHLANDS,23,W 22ND AV,3200,ODD,N,7,41.00,,12,N,Y, ,ULMUS,AMERICANA,AMERICAN ELM
4192,3570,W 31ST AV,DUNBAR - SOUTHLANDS,2,W 31ST AV,3500,EVEN,N,5,15.00,,9,N,Y, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH
6144,3961,W 31ST AV,DUNBAR - SOUTHLANDS,17,W 31ST AV,3900,ODD,N,4,24.00,,L,N,N, ,ACER,PLATANOIDES,NORWAY MAPLE
7548,5811,BLENHEIM ST,DUNBAR - SOUTHLANDS,6,BLENHEIM ST,5800,ODD,N,1,3.00,20081118,6,N,Y,PURPLE HAZE,PRUNUS,SALICINA,PURPLE HAZE JAPANESE PLUM
8888,4093,W 29TH AV,DUNBAR - SOUTHLANDS,3,W 29TH AV,4000,ODD,N,1,3.00,20130328,6,N,Y,SHIROTAE,PRUNUS,SERRULATA,SHIROTAE(MT FUJI) CHERRY
7353,3506,W 43RD AV,DUNBAR - SOUTHLANDS,3,W 43RD AV,3500,EVEN,N,1,3.00,20090129,12,N,Y, ,CORNUS,KOUSA,JAPANESE DOGWOOD
7394,5811,BLENHEIM ST,DUNBAR - SOUTHLANDS,3,BLENHEIM ST,5800,ODD,N,1,3.00,20081118,6,N,Y,PURPLE HAZE,PRUNUS,SALICINA,PURPLE HAZE JAPANESE PLUM
