TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
523,1590,W 1ST AV,FAIRVIEW,6,W 1ST AV,1500,EVEN,N,3,16.50,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
526,1607,W 1ST AV,FAIRVIEW,28,W 1ST AV,1600,MED,Y,4,9.75,,20,N,Y, ,ACER,RUBRUM,RED MAPLE
531,1707,W 1ST AV,FAIRVIEW,3,W 1ST AV,1700,ODD,Y,3,8.50,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
532,1727,W 1ST AV,FAIRVIEW,7,W 1ST AV,1700,ODD,Y,3,15.50,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
535,1707,W 1ST AV,FAIRVIEW,6,W 1ST AV,1700,ODD,Y,3,10.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
536,1707,W 1ST AV,FAIRVIEW,1,W 1ST AV,1700,ODD,Y,3,11.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
538,1701,W 1ST AV,FAIRVIEW,5,W 1ST AV,1700,ODD,Y,3,11.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
539,1705,W 1ST AV,FAIRVIEW,6,W 1ST AV,1700,ODD,Y,3,10.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
540,1707,W 1ST AV,FAIRVIEW,2,W 1ST AV,1700,ODD,Y,3,8.50,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
2724,2368,LAUREL ST,FAIRVIEW,19,LAUREL ST,2300,EVEN,N,5,27.00,,L,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR
2460,1400,W 4TH AV,FAIRVIEW,1,W 4TH AV,1400,MED,Y,1,4.00,20050313,N,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE
2478,1603,W 3RD AV,FAIRVIEW,6,W 3RD AV,1600,ODD,N,2,15.00,,4,N,Y,UKON,PRUNUS,SERRULATA,UKON JAPANESE CHERRY
2479,1855,FIR ST,FAIRVIEW,2,FIR ST,1800,ODD,N,4,9.00,,4,N,Y, ,TILIA,CORDATA,LITTLE-LEAF LINDEN
2480,1855,FIR ST,FAIRVIEW,4,FIR ST,1800,ODD,N,4,7.50,,4,N,Y, ,TILIA,CORDATA,LITTLE-LEAF LINDEN
2481,1855,FIR ST,FAIRVIEW,6,FIR ST,1800,ODD,N,5,12.00,,4,N,Y, ,TILIA,CORDATA,LITTLE-LEAF LINDEN
1564,1684,W 2ND AV,FAIRVIEW,4,W 2ND AV,1600,EVEN,N,2,8.50,,B,N,Y, ,MAGNOLIA,GRANDIFLORA,SOUTHERN MAGNOLIA
510,1510,W 1ST AV,FAIRVIEW,2,W 1ST AV,1500,EVEN,N,4,12.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
511,1510,W 1ST AV,FAIRVIEW,2,W 1ST AV,1500,EVEN,N,4,14.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
513,1510,W 1ST AV,FAIRVIEW,3,W 1ST AV,1500,EVEN,N,4,13.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
515,1510,W 1ST AV,FAIRVIEW,6,W 1ST AV,1500,EVEN,N,5,13.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
