TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
2186,1425,E 3RD AV,GRANDVIEW - WOODLANDS,21,MCLEAN DRIVE,1800,EVEN,N,3,13.00,,3,N,N,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE
2188,1425,E 3RD AV,GRANDVIEW - WOODLANDS,22,MCLEAN DRIVE,1800,EVEN,N,3,11.00,,3,N,N,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE
2189,1425,E 3RD AV,GRANDVIEW - WOODLANDS,23,MCLEAN DRIVE,1800,EVEN,N,3,9.50,,3,N,N,MORGAN,ACER,FREEMANI   X,MORGAN RED MAPLE
2195,1700,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,1700,EVEN,N,4,12.00,,8,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
2196,1700,E 3RD AV,GRANDVIEW - WOODLANDS,5,E 3RD AV,1700,EVEN,N,4,12.00,,8,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
2197,1722,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1700,EVEN,N,3,20.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2198,1731,E 3RD AV,GRANDVIEW - WOODLANDS,3,E 3RD AV,1700,ODD,N,2,15.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2199,1732,E 3RD AV,GRANDVIEW - WOODLANDS,6,E 3RD AV,1700,EVEN,N,3,20.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2201,1742,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1700,EVEN,N,3,25.25,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2202,1751,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1700,ODD,N,2,24.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2203,1752,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1700,EVEN,N,2,18.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2204,1761,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,1700,ODD,N,3,26.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2206,1775,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1700,ODD,N,5,31.00,20020111,8,N,Y, ,ULMUS,GLABRA,SCOTS ELM 
2207,1776,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1700,EVEN,N,3,32.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2208,1779,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,1700,ODD,N,3,24.50,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2209,1788,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,1700,EVEN,N,3,21.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2210,1804,E 3RD AV,GRANDVIEW - WOODLANDS,5,E 3RD AV,1800,EVEN,N,3,25.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2212,1807,E 3RD AV,GRANDVIEW - WOODLANDS,6,E 3RD AV,1800,ODD,N,3,30.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2213,1817,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1800,ODD,N,3,29.75,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2214,1823,E 3RD AV,GRANDVIEW - WOODLANDS,7,E 3RD AV,1800,ODD,N,3,26.50,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2215,1824,E 3RD AV,GRANDVIEW - WOODLANDS,5,E 3RD AV,1800,EVEN,N,3,29.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2216,1841,E 3RD AV,GRANDVIEW - WOODLANDS,6,E 3RD AV,1800,ODD,N,3,34.25,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2217,1850,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,1800,EVEN,N,3,29.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2219,1850,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1800,EVEN,N,3,32.50,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2220,1850,E 3RD AV,GRANDVIEW - WOODLANDS,6,E 3RD AV,1800,EVEN,N,3,29.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2222,1850,E 3RD AV,GRANDVIEW - WOODLANDS,7,E 3RD AV,1800,EVEN,N,3,30.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2223,1861,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,1800,ODD,N,3,27.50,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2228,1947,E 3RD AV,GRANDVIEW - WOODLANDS,3,E 3RD AV,1900,ODD,N,3,29.00,,6,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2229,1951,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,1900,ODD,N,3,23.00,,6,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2230,1957,E 3RD AV,GRANDVIEW - WOODLANDS,5,E 3RD AV,1900,ODD,N,2,14.00,,6,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
1234,2203,E 2ND AV,GRANDVIEW - WOODLANDS,19,TEMPLETON DRIVE,2203,EVEN,N,3,26.00,,6,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
1236,2203,E 2ND AV,GRANDVIEW - WOODLANDS,23,TEMPLETON DRIVE,2203,EVEN,N,3,21.00,,6,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
1237,2209,E 2ND AV,GRANDVIEW - WOODLANDS,6,E 2ND AV,2200,ODD,N,6,38.50,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1238,2233,E 2ND AV,GRANDVIEW - WOODLANDS,1,E 2ND AV,2200,ODD,N,5,31.50,,6,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA
1239,2235,E 2ND AV,GRANDVIEW - WOODLANDS,2,E 2ND AV,2200,ODD,N,6,42.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1240,2241,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2200,ODD,N,5,26.00,19941028,6,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA
1241,2249,E 2ND AV,GRANDVIEW - WOODLANDS,5,E 2ND AV,2200,ODD,N,6,54.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1242,2265,E 2ND AV,GRANDVIEW - WOODLANDS,3,E 2ND AV,2200,ODD,N,5,13.00,19900202,7,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN
1245,2293,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2200,ODD,N,8,34.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1247,2305,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2300,ODD,N,6,31.50,,6,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA
1248,2310,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2300,EVEN,N,2,3.00,20000131,7,N,Y,CALOCARPA,MALUS,ZUMI,REDBUD CRABAPPLE
1250,2317,E 2ND AV,GRANDVIEW - WOODLANDS,7,E 2ND AV,2300,ODD,N,8,38.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1251,2320,E 2ND AV,GRANDVIEW - WOODLANDS,1,E 2ND AV,2300,EVEN,N,4,28.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1252,2340,E 2ND AV,GRANDVIEW - WOODLANDS,5,E 2ND AV,2300,EVEN,N,4,32.00,,6,N,Y, ,CATALPA,SPECIES,CATALPA SPECIES
1253,2343,E 2ND AV,GRANDVIEW - WOODLANDS,3,E 2ND AV,2300,ODD,N,6,28.00,,6,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA
1254,2350,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2300,EVEN,N,4,37.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1255,2353,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2300,ODD,N,7,32.50,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1257,2390,E 2ND AV,GRANDVIEW - WOODLANDS,4,E 2ND AV,2300,EVEN,N,4,33.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
2224,1903,E 3RD AV,GRANDVIEW - WOODLANDS,1,E 3RD AV,1900,ODD,N,3,23.00,,6,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
2225,1917,E 3RD AV,GRANDVIEW - WOODLANDS,3,E 3RD AV,1900,ODD,N,3,23.00,,6,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2234,2029,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,2000,ODD,N,3,9.50,,6,N,Y, ,BETULA,PAPYRIFERA,PAPER BIRCH
2235,2037,E 3RD AV,GRANDVIEW - WOODLANDS,5,E 3RD AV,2000,ODD,N,5,12.00,,6,N,Y, ,TILIA,AMERICANA,BASSWOOD
2236,2041,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,2000,ODD,N,5,16.00,,6,N,Y, ,TILIA,AMERICANA,BASSWOOD
2237,2049,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,2000,ODD,N,5,16.00,,6,N,Y, ,TILIA,AMERICANA,BASSWOOD
2238,2061,E 3RD AV,GRANDVIEW - WOODLANDS,1,E 3RD AV,2000,ODD,N,5,16.00,,6,N,Y, ,TILIA,AMERICANA,BASSWOOD
2240,2075,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,2000,ODD,N,6,33.00,,6,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
2241,2075,E 3RD AV,GRANDVIEW - WOODLANDS,9,LAKEWOOD DRIVE,1800,ODD,N,2,13.00,,6,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
2242,2075,E 3RD AV,GRANDVIEW - WOODLANDS,12,LAKEWOOD DRIVE,1800,ODD,N,2,10.50,,6,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
2243,2105,E 3RD AV,GRANDVIEW - WOODLANDS,19,LAKEWOOD DRIVE,1800,EVEN,N,3,18.00,,6,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
2244,2105,E 3RD AV,GRANDVIEW - WOODLANDS,21,LAKEWOOD DRIVE,1800,EVEN,N,3,21.00,,6,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
2245,2105,E 3RD AV,GRANDVIEW - WOODLANDS,23,LAKEWOOD DRIVE,1800,EVEN,N,3,19.00,,6,N,Y, ,PRUNUS,SARGENTII,SARGENT FLOWERING CHERRY
2248,2135,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,2100,ODD,N,3,6.00,19900202,7,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN
2250,2145,E 3RD AV,GRANDVIEW - WOODLANDS,7,E 3RD AV,2100,ODD,N,4,35.00,,6,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
2252,2185,E 3RD AV,GRANDVIEW - WOODLANDS,2,E 3RD AV,2100,ODD,N,5,31.00,,6,N,Y, ,JUNIPERUS,COMMUNIS,COMMOM JUNIPER
2253,2185,E 3RD AV,GRANDVIEW - WOODLANDS,4,E 3RD AV,2100,ODD,N,6,32.00,,6,N,Y, ,JUNIPERUS,COMMUNIS,COMMOM JUNIPER
2255,2185,E 3RD AV,GRANDVIEW - WOODLANDS,9,TEMPLETON DRIVE,1800,ODD,N,2,11.00,,6,N,Y,RANCHO,PRUNUS,SARGENTII,RANCHO SARGENT CHERRY
2256,2185,E 3RD AV,GRANDVIEW - WOODLANDS,11,TEMPLETON DRIVE,1800,ODD,N,2,17.00,,6,N,Y,RANCHO,PRUNUS,SARGENTII,RANCHO SARGENT CHERRY
2257,2185,E 3RD AV,GRANDVIEW - WOODLANDS,13,TEMPLETON DRIVE,1800,ODD,N,2,19.00,,6,N,Y,RANCHO,PRUNUS,SARGENTII,RANCHO SARGENT CHERRY
2258,2204,E 3RD AV,GRANDVIEW - WOODLANDS,9,TEMPLETON DRIVE,1900,EVEN,N,3,24.00,,7,N,Y,SEIBOLDI,PRUNUS,SERRULATA,SEIBOLDI CHERRY
2259,2204,E 3RD AV,GRANDVIEW - WOODLANDS,11,TEMPLETON DRIVE,1900,EVEN,N,3,26.50,,7,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2260,2315,E 3RD AV,GRANDVIEW - WOODLANDS,7,E 3RD AV,2300,ODD,N,7,31.50,,6,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
2261,2335,E 3RD AV,GRANDVIEW - WOODLANDS,3,E 3RD AV,2300,ODD,N,5,24.00,,6,N,Y, ,CATALPA,BIGNONIOIDES,COMMON CATALPA
2262,2345,E 3RD AV,GRANDVIEW - WOODLANDS,7,E 3RD AV,2300,ODD,N,7,28.00,,6,N,Y, ,QUERCUS,RUBRA,RED OAK
1169,1850,E 2ND AV,GRANDVIEW - WOODLANDS,1,E 2ND AV,1800,EVEN,N,2,9.00,,7,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
1170,1857,E 2ND AV,GRANDVIEW - WOODLANDS,1,E 2ND AV,1800,ODD,N,3,25.50,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
1171,1868,E 2ND AV,GRANDVIEW - WOODLANDS,6,E 2ND AV,1800,EVEN,N,3,22.75,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
