TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
626,1031,BOUNDARY ROAD,HASTINGS - SUNRISE,3,BOUNDARY ROAD,1000,ODD,N,1,3.00,20081204,3,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
630,1035,BOUNDARY ROAD,HASTINGS - SUNRISE,3,BOUNDARY ROAD,1000,ODD,N,1,3.00,20081204,3,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
639,601,KAMLOOPS ST,HASTINGS - SUNRISE,2,KAMLOOPS ST,600,ODD,N,1,3.00,20090129,10,N,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE
552,3610,E 1ST AV,HASTINGS - SUNRISE,28,E 1ST AV,3600,MED,N,1,3.00,20080912,10,N,Y, ,EUONYMUS,EUROPEA,SPINDLE TREE
203,2401,E 1ST AV,HASTINGS - SUNRISE,6,E 1ST AV,2400,ODD,Y,2,4.00,19970401,6,N,Y,DAWYCKII  PURPLE,FAGUS,SYLVATICA,PURPLE DAWYCK BEECH
204,2439,E 1ST AV,HASTINGS - SUNRISE,2,E 1ST AV,2400,ODD,N,2,4.00,19970401,6,N,Y,FRANZ FONTAINE,CARPINUS,BETULUS,FRANZ FONTAINE HORNBEAM
2291,2582,E 3RD AV,HASTINGS - SUNRISE,3,E 3RD AV,2500,EVEN,N,3,20.75,,7,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2293,2601,E 3RD AV,HASTINGS - SUNRISE,2,E 3RD AV,2600,ODD,Y,2,11.00,,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
2294,2601,E 3RD AV,HASTINGS - SUNRISE,3,E 3RD AV,2600,ODD,Y,3,18.50,,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2295,2623,E 3RD AV,HASTINGS - SUNRISE,3,E 3RD AV,2600,ODD,Y,3,11.00,,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
2296,2631,E 3RD AV,HASTINGS - SUNRISE,5,E 3RD AV,2600,ODD,Y,3,17.00,,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2297,2647,E 3RD AV,HASTINGS - SUNRISE,4,E 3RD AV,2600,ODD,Y,3,13.00,,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
2298,2655,E 3RD AV,HASTINGS - SUNRISE,5,E 3RD AV,2600,ODD,Y,3,21.50,,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
2299,2663,E 3RD AV,HASTINGS - SUNRISE,6,E 3RD AV,2600,ODD,Y,3,14.25,,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
2301,2646,E 3RD AV,HASTINGS - SUNRISE,5,E 3RD AV,2600,EVEN,N,3,20.00,,7,N,N,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
2302,2654,E 3RD AV,HASTINGS - SUNRISE,2,E 3RD AV,2600,EVEN,N,3,34.00,,7,N,N,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
