URL:,http://data.vancouver.ca/datacatalogue/streetTrees.htm,,,,,,,,,,,,,,,,,
Date:,2014/07/02,,,,,,,,,,,,,,,,,
TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
553,1554,"E 13TH AV","KENSINGTON-CEDAR COTTAGE",2,"E 13TH AV",1500,EVEN,N,1,2.25,20090202,7,N,Y,"VILLAGE GREEN",ZELKOVA,SERRATA,"VILLAGE GREEN ZELKOVA"
1614,5337,"ST. CATHERINES ST","KENSINGTON-CEDAR COTTAGE",15,"ST. CATHERINES ST",5300,ODD,N,5,13,,L,N,N,,PSEUDOTSUGA,MENZIESII,"DOUGLAS FIR"
1615,5337,"ST. CATHERINES ST","KENSINGTON-CEDAR COTTAGE",15,"ST. CATHERINES ST",5300,ODD,N,5,16,,L,N,N,,PSEUDOTSUGA,MENZIESII,"DOUGLAS FIR"
1616,5337,"ST. CATHERINES ST","KENSINGTON-CEDAR COTTAGE",15,"ST. CATHERINES ST",5300,ODD,N,5,8,,L,N,N,,PSEUDOTSUGA,MENZIESII,"DOUGLAS FIR"
1618,5337,"ST. CATHERINES ST","KENSINGTON-CEDAR COTTAGE",16,"ST. CATHERINES ST",5300,ODD,N,5,8.5,,L,N,N,,PSEUDOTSUGA,MENZIESII,"DOUGLAS FIR"
986,1435,KINGSWAY,"KENSINGTON-CEDAR COTTAGE",30,KINGSWAY,1400,MED,N,1,3,20091105,5,N,Y,DAWYCKII,FAGUS,SYLVATICA,"DAWYCK'S BEECH"
1627,5337,"ST. CATHERINES ST","KENSINGTON-CEDAR COTTAGE",16,"ST. CATHERINES ST",5300,ODD,N,5,10,,L,N,N,,PSEUDOTSUGA,MENZIESII,"DOUGLAS FIR"
1711,5510,"ROSS ST","KENSINGTON-CEDAR COTTAGE",16,"ROSS ST",5500,EVEN,N,6,28,,L,N,N,,PSEUDOTSUGA,MENZIESII,"DOUGLAS FIR"
1714,5379,"CULLODEN ST","KENSINGTON-CEDAR COTTAGE",18,"CULLODEN ST",5300,ODD,N,4,17,,L,N,N,,CHAMAECYPARIS,LAWSONIANA,"LAWSON CYPRESS/PORT ORFORD CED"
1538,1736,"E 32ND AV","KENSINGTON-CEDAR COTTAGE",1,"E 32ND AV",1700,EVEN,N,1,3,20130315,10,N,N,"EDDIE'S WHITE WONDER",CORNUS,XX,"EDDIES WHITE WONDER DOGWOOD"
