TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
1002,6490,CEDARHURST ST,KERRISDALE,8,W 49TH AV,2900,EVEN,N,6,18.50,,B,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK
2619,2188,W 53RD AV,KERRISDALE,1,W 53RD AV,2100,EVEN,N,6,18.50,,N,N,N, ,PINUS,NIGRA,AUSTRIAN PINE
2625,2188,W 53RD AV,KERRISDALE,1,W 53RD AV,2100,EVEN,N,5,14.00,,N,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH
652,6808,MARGUERITE ST,KERRISDALE,20,W 52ND AV,1600,EVEN,N,1,3.00,20090407,10,N,Y,WADDA'S MEMORY,MAGNOLIA,KOBUS,WADDA'S MEMORY MAGNOLIA
248886,1750,W 75TH AV,KERRISDALE,6,W 75TH AV,1700,EVEN,N,1,3.00,,4,N,Y,GLOBOSA,CARPINUS,BETULUS,GLOBE HORNBEAM
740,6808,MARGUERITE ST,KERRISDALE,21,W 52ND AV,1600,EVEN,N,1,3.00,20090331,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
745,5987,WILTSHIRE ST,KERRISDALE,2,WILTSHIRE ST,5900,ODD,N,1,3.00,20090401,15,N,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE
747,6868,CHURCHILL ST,KERRISDALE,3,CHURCHILL ST,6800,EVEN,N,1,3.00,,N,N,Y,APOLLO,MAGNOLIA,XX,APOLLO MAGNOLIA
748,6842,CHURCHILL ST,KERRISDALE,2,CHURCHILL ST,6800,EVEN,N,1,3.00,,N,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
750,6588,CHURCHILL ST,KERRISDALE,3,CHURCHILL ST,6500,EVEN,N,1,3.00,,N,N,Y,APOLLO,MAGNOLIA,XX,APOLLO MAGNOLIA
752,1890,W 75TH AV,KERRISDALE,7,W 75TH AV,1800,EVEN,Y,1,3.00,,N,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY
760,1790,W 75TH AV,KERRISDALE,2,W 75TH AV,1700,EVEN,Y,1,3.00,,4,N,Y,GLOBOSA,CARPINUS,BETULUS,GLOBE HORNBEAM
1647,3210,SW MARINE DRIVE,KERRISDALE,7,SW MARINE DRIVE,3200,EVEN,N,3,8.00,, ,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED
1648,3210,SW MARINE DRIVE,KERRISDALE,7,SW MARINE DRIVE,3200,EVEN,N,3,10.00,, ,N,Y, ,CHAMAECYPARIS,LAWSONIANA,LAWSON CYPRESS/PORT ORFORD CED
201,1816,W 62ND AV,KERRISDALE,4,W 62ND AV,1800,EVEN,N,1,3.00,20080205,N,N,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE
1079,6876,CYPRESS ST,KERRISDALE,2,CYPRESS ST,6800,EVEN,N,1,3.00,,10,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
4207,6011,MACDONALD ST,KERRISDALE,2,MACDONALD ST,6000,ODD,N,4,28.00,,B,N,Y, ,CASTANEA,SATIVA,SPANISH CHESTNUT
4230,6011,MACDONALD ST,KERRISDALE,3,MACDONALD ST,6000,ODD,N,4,24.00,,B,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK
6197,1975,W 60TH AV,KERRISDALE,1,MAPLE ST,7400,EVEN,N,1,3.00,20100201,N,N,Y,AUTUMN FLAME,ACER,RUBRUM,AUTUMN FLAME RED MAPLE
4232,6011,MACDONALD ST,KERRISDALE,4,MACDONALD ST,6000,ODD,N,2,6.00,,B,N,Y, ,ILEX,AQUIFOLIUM,ENGLISH HOLLY
5569,7408,MAPLE ST,KERRISDALE,2,MAPLE ST,7400,EVEN,N,1,3.00,20100201,N,N,Y,AUTUMN FLAME,ACER,RUBRUM,AUTUMN FLAME RED MAPLE
5509,6037,MACDONALD ST,KERRISDALE,2,MACDONALD ST,6000,ODD,N,1,3.00,,4,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD
5518,6037,MACDONALD ST,KERRISDALE,4,MACDONALD ST,6000,ODD,N,1,3.00,,4,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD
6848,5718,ADERA ST,KERRISDALE,22,W 41ST AV,1600,EVEN,N,4,12.00,,B,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR
