TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
640,7030,MONT ROYAL SQUARE,KILLARNEY,3,MONT ROYAL SQUARE,7000,EVEN,N,1,3.00,20090312,2,Y,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
332,3299,MARINE WAY,KILLARNEY,4,MARINE WAY,3200,ODD,Y,1,2.50,20090406,4,Y,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM
6699,6270,TYNE ST,KILLARNEY,2,TYNE ST,6200,EVEN,N,3,17.50,,B,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
6704,6270,TYNE ST,KILLARNEY,6,TYNE ST,6200,EVEN,N,3,18.00,,B,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
9050,3658,SE MARINE DRIVE,KILLARNEY,6,SE MARINE DRIVE,3600,EVEN,N,5,16.00,,B,N,Y, ,ACER,MACROPHYLLUM,BIGLEAF MAPLE
14854,3380,E 54TH AV,KILLARNEY,1,E 54TH AV,3300,EVEN,Y,1,3.00,20090421,6,Y,Y,DEBORAH,ACER,PLATANOIDES,DEBORAH NORWAY MAPLE
14938,3466,E 47TH AV,KILLARNEY,5,E 47TH AV,3400,EVEN,N,1,3.00,20100111,6,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
12177,3275,E 47TH AV,KILLARNEY,2,E 47TH AV,3200,ODD,N,1,3.00,20090416,7,N,Y, ,CRATAEGUS,PHAENOPYRUM,WASHINGTON HAWTHORN
12185,3407,E 47TH AV,KILLARNEY,20,TYNE ST,6200,EVEN,N,1,3.00,20090416,12,N,Y, ,CRATAEGUS,PHAENOPYRUM,WASHINGTON HAWTHORN
15492,7401,BOUNDARY ROAD,KILLARNEY,1,BOUNDARY ROAD,7400,ODD,Y,1,3.00,20091106,4,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
15493,7201,BOUNDARY ROAD,KILLARNEY,2,BOUNDARY ROAD,7200,ODD,Y,1,3.00,20091105,4,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
15557,6901,BOUNDARY ROAD,KILLARNEY,1,BOUNDARY ROAD,6900,ODD,Y,1,3.00,20091030,4,Y,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
15848,3458,E 47TH AV,KILLARNEY,4,E 47TH AV,3400,EVEN,N,1,3.00,20100111,6,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
15448,3350,E 54TH AV,KILLARNEY,5,E 54TH AV,3300,EVEN,N,1,3.00,20090421,6,Y,Y,SUPERFORM,ACER,PLATANOIDES,SUPERFORM NORWAY MAPLE
30023,3011,E KENT AV SOUTH,KILLARNEY,7,E KENT AV SOUTH,3000,ODD,Y,3,8.00,20130131,N,N,Y, ,TILIA,EUCHLORA   X,CRIMEAN LINDEN
