TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
1461,702,W 60TH AV,MARPOLE,3,W 60TH AV,700,EVEN,N,1,2.00,20080118,9,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST
1462,708,W 60TH AV,MARPOLE,2,W 60TH AV,700,EVEN,N,1,2.00,20080118,9,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST
1463,747,W 60TH AV,MARPOLE,2,W 60TH AV,700,ODD,N,1,2.00,20080118,10,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST
587,7722,ADERA ST,MARPOLE,5,ADERA ST,7700,EVEN,Y,1,3.00,20081114,12,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
6613,7516,CAMBIE ST,MARPOLE,6,CAMBIE ST,7500,EVEN,N,1,3.00,20081126,12,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE
6622,7584,CAMBIE ST,MARPOLE,1,CAMBIE ST,7500,EVEN,N,1,3.50,20081126,12,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE
6710,8708,CARTIER ST,MARPOLE,2,CARTIER ST,8700,EVEN,N,2,7.00,,6,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM
6713,8708,CARTIER ST,MARPOLE,6,CARTIER ST,8700,EVEN,N,2,3.00,,6,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM
6714,8708,CARTIER ST,MARPOLE,3,CARTIER ST,8700,EVEN,N,2,3.50,,B,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
6773,8708,CARTIER ST,MARPOLE,5,CARTIER ST,8700,EVEN,N,2,3.75,,B,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
5126,1334,W 73RD AV,MARPOLE,5,W 73RD AV,1300,EVEN,N,2,3.00,,6,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE
7087,8955,SHAUGHNESSY ST,MARPOLE,1,SHAUGHNESSY ST,8900,ODD,N,6,14.00,,N,N,N, ,POPULUS,SPECIES,POPLAR SPECIES
7097,8955,SHAUGHNESSY ST,MARPOLE,2,SHAUGHNESSY ST,8900,ODD,N,6,12.00,,N,N,N, ,POPULUS,SPECIES,POPLAR SPECIES
