TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
609,2918,COLUMBIA ST,MOUNT PLEASANT,2,COLUMBIA ST,2900,EVEN,N,2,6.00,,7,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
611,2928,COLUMBIA ST,MOUNT PLEASANT,4,COLUMBIA ST,2900,EVEN,N,2,7.00,,7,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST
1467,438,GREAT NORTHERN WAY,MOUNT PLEASANT,2,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1468,438,GREAT NORTHERN WAY,MOUNT PLEASANT,2,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1470,438,GREAT NORTHERN WAY,MOUNT PLEASANT,4,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1471,438,GREAT NORTHERN WAY,MOUNT PLEASANT,4,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1472,438,GREAT NORTHERN WAY,MOUNT PLEASANT,5,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1473,438,GREAT NORTHERN WAY,MOUNT PLEASANT,5,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1474,438,GREAT NORTHERN WAY,MOUNT PLEASANT,6,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1475,438,GREAT NORTHERN WAY,MOUNT PLEASANT,6,GREAT NORTHERN WAY,400,EVEN,N,1,3.00,,4,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1477,577,GREAT NORTHERN WAY,MOUNT PLEASANT,7,GREAT NORTHERN WAY,500,ODD,N,1,3.00,,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1478,701,GREAT NORTHERN WAY,MOUNT PLEASANT,2,GREAT NORTHERN WAY,700,ODD,N,1,3.00,,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1480,701,GREAT NORTHERN WAY,MOUNT PLEASANT,3,GREAT NORTHERN WAY,700,ODD,N,1,3.00,,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1481,701,GREAT NORTHERN WAY,MOUNT PLEASANT,5,GREAT NORTHERN WAY,700,ODD,N,1,3.00,,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1483,801,GREAT NORTHERN WAY,MOUNT PLEASANT,4,GREAT NORTHERN WAY,800,ODD,N,1,3.00,,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1487,901,GREAT NORTHERN WAY,MOUNT PLEASANT,3,GREAT NORTHERN WAY,900,ODD,N,1,3.00,,3,N,Y, ,PYRUS,CALLERYANA,CALLERY PEAR
1488,1077,GREAT NORTHERN WAY,MOUNT PLEASANT,1,GREAT NORTHERN WAY,1000,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
2733,88,E 13TH AV,MOUNT PLEASANT,24,QUEBEC ST,2900,ODD,N,1,3.00,20120306,4,Y,Y,LUTESCENS,SORBUS,ARIA,GOLDEN WHITEBEAM
2734,580,E 12TH AV,MOUNT PLEASANT,20,CAROLINA ST,2800,ODD,N,1,3.00,20120320,8,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY
2735,64,W 14TH AV,MOUNT PLEASANT,5,W 14TH AV,0,EVEN,N,1,4.50,20120306,4,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
2738,3096,CAMBIE ST,MOUNT PLEASANT,10,W 15TH AV,400,ODD,N,1,3.00,20120319,5,N,Y,SHIROFUGEN,PRUNUS,SERRULATA,SHIROFUGEN CHERRY
2739,301,E 5TH AV,MOUNT PLEASANT,1,E 5TH AV,300,ODD,Y,1,3.00,20111124,4,N,Y,FASTIGIATA,CARPINUS,BETULUS,PYRAMIDAL EUROPEAN HORNBEAM
1005,2938,COLUMBIA ST,MOUNT PLEASANT,4,COLUMBIA ST,2900,EVEN,N,2,5.00,,7,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
2921,281,W 13TH AV,MOUNT PLEASANT,3,W 13TH AV,200,ODD,N,4,12.50,,6,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST
2924,281,W 13TH AV,MOUNT PLEASANT,6,W 13TH AV,200,ODD,N,4,13.00,,6,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST
484,2,W 1ST AV,MOUNT PLEASANT,1,W 1ST AV,0,EVEN,N,4,14.00,,B,N,Y, ,CHAMAECYPARIS,OBTUSA,HINOKI FALSECYPRESS
485,2,W 1ST AV,MOUNT PLEASANT,1,W 1ST AV,0,EVEN,N,4,12.00,,B,N,Y, ,CHAMAECYPARIS,OBTUSA,HINOKI FALSECYPRESS
494,85,W 1ST AV,MOUNT PLEASANT,3,W 1ST AV,0,ODD,N,2,6.00,,N,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH
1489,1077,GREAT NORTHERN WAY,MOUNT PLEASANT,3,GREAT NORTHERN WAY,1000,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
1490,1077,GREAT NORTHERN WAY,MOUNT PLEASANT,5,GREAT NORTHERN WAY,1000,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
1119,300,E 2ND AV,MOUNT PLEASANT,1,E 2ND AV,300,EVEN,N,4,6.00,,B,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
1125,377,E 2ND AV,MOUNT PLEASANT,1,E 2ND AV,300,ODD,N,5,37.00,,b,N,Y, ,ACER,MACROPHYLLUM,BIGLEAF MAPLE
1127,377,E 2ND AV,MOUNT PLEASANT,2,E 2ND AV,300,ODD,N,3,12.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1128,377,E 2ND AV,MOUNT PLEASANT,2,E 2ND AV,300,ODD,N,2,7.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1130,377,E 2ND AV,MOUNT PLEASANT,3,E 2ND AV,300,ODD,N,2,5.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1131,377,E 2ND AV,MOUNT PLEASANT,4,E 2ND AV,300,ODD,N,2,4.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1134,397,E 2ND AV,MOUNT PLEASANT,2,E 2ND AV,300,ODD,Y,2,6.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1135,397,E 2ND AV,MOUNT PLEASANT,3,E 2ND AV,300,ODD,Y,2,6.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1136,397,E 2ND AV,MOUNT PLEASANT,5,E 2ND AV,300,ODD,Y,2,6.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1137,397,E 2ND AV,MOUNT PLEASANT,6,E 2ND AV,300,ODD,Y,2,5.00,,N,N,Y,ARISTOCRAT,PYRUS,CALLERYANA,ARISTOCRAT PEAR
1501,201,W 2ND AV,MOUNT PLEASANT,14,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1502,201,W 2ND AV,MOUNT PLEASANT,14,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1503,201,W 2ND AV,MOUNT PLEASANT,14,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1504,201,W 2ND AV,MOUNT PLEASANT,14,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1505,201,W 2ND AV,MOUNT PLEASANT,15,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1506,201,W 2ND AV,MOUNT PLEASANT,15,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1507,201,W 2ND AV,MOUNT PLEASANT,15,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1508,201,W 2ND AV,MOUNT PLEASANT,15,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1509,201,W 2ND AV,MOUNT PLEASANT,16,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1510,201,W 2ND AV,MOUNT PLEASANT,16,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1511,201,W 2ND AV,MOUNT PLEASANT,17,W 1ST AV,200,EVEN,N,1,6.00,,B,N,Y, ,RHUS,TYPHINA,STAGHORN SUMAC
1512,201,W 2ND AV,MOUNT PLEASANT,17,W 1ST AV,200,EVEN,N,1,6.00,,B,N,Y, ,RHUS,TYPHINA,STAGHORN SUMAC
1513,201,W 2ND AV,MOUNT PLEASANT,17,W 1ST AV,200,EVEN,N,1,6.00,,B,N,Y, ,RHUS,TYPHINA,STAGHORN SUMAC
1514,201,W 2ND AV,MOUNT PLEASANT,17,W 1ST AV,200,EVEN,N,3,6.00,,B,N,Y, ,ACER,RUBRUM,RED MAPLE
1517,216,W 2ND AV,MOUNT PLEASANT,2,W 2ND AV,200,EVEN,N,2,6.00,19901113,B,N,Y,CHANTICLEER,PYRUS,CALLERYANA,CHANTICLEER PEAR
1519,216,W 2ND AV,MOUNT PLEASANT,3,W 2ND AV,200,EVEN,N,2,6.00,19901113,B,N,Y,CHANTICLEER,PYRUS,CALLERYANA,CHANTICLEER PEAR
1520,301,E 10TH AV,MOUNT PLEASANT,4,E 10TH AV,300,ODD,Y,1,3.00,20111206,6,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
1522,295,E 11TH AV,MOUNT PLEASANT,7,E 11TH AV,200,ODD,N,1,3.00,20120228,6,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
1523,306,E 11TH AV,MOUNT PLEASANT,5,E 11TH AV,300,EVEN,N,1,3.00,20120229,6,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
1526,232,W 2ND AV,MOUNT PLEASANT,1,W 2ND AV,200,EVEN,N,1,4.50,19901113,C,N,Y,CHANTICLEER,PYRUS,CALLERYANA,CHANTICLEER PEAR
