TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
1456,1107,W 54TH AV,OAKRIDGE,11,OSLER ST,7000,ODD,N,1,1.50,20090122,7,Y,Y,CALOCARPA,MALUS,ZUMI,REDBUD CRABAPPLE
1457,1305,W 57TH AV,OAKRIDGE,1,W 57TH AV,1300,ODD,N,1,3.00,20080117,3,N,N, ,NYSSA,SYLVATICA,TUPELO
1458,1305,W 57TH AV,OAKRIDGE,6,W 57TH AV,1300,ODD,N,1,3.00,20080117,3,N,Y, ,NYSSA,SYLVATICA,TUPELO
1460,1305,W 57TH AV,OAKRIDGE,12,HUDSON ST,7200,ODD,N,1,3.00,20080117,3,Y,Y,RED JEWEL,MALUS,XX,RED JEWEL CRABAPPLE
1486,145,W 44TH AV,OAKRIDGE,4,W 44TH AV,100,ODD,N,1,3.50,20050127,7,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE
2642,1102,W 48TH AV,OAKRIDGE,7,W 48TH AV,1100,EVEN,N,2,8.00,,B,N,Y, ,ACER,PALMATUM,JAPANESE MAPLE
707,1419,W 55TH AV,OAKRIDGE,7,W 55TH AV,1400,ODD,N,1,3.00,,7,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
767,6790,CAMBIE ST,OAKRIDGE,4,CAMBIE ST,6700,EVEN,Y,1,3.00,,4,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
775,6770,CAMBIE ST,OAKRIDGE,7,CAMBIE ST,6700,EVEN,N,1,3.00,,4,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
776,6750,CAMBIE ST,OAKRIDGE,2,CAMBIE ST,6700,EVEN,N,1,3.00,,4,Y,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
2760,1456,W 53RD AV,OAKRIDGE,5,W 53RD AV,1400,EVEN,N,1,4.25,20080222,10,N,Y,WORPLESDON,LIQUIDAMBAR,STYRACIFLUA,WORPLESDON SWEETGUM
4168,1475,W 52ND AV,OAKRIDGE,1,W 52ND AV,1400,ODD,N,4,30.00,,N,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR
4179,1475,W 52ND AV,OAKRIDGE,2,W 52ND AV,1400,ODD,N,4,26.00,,N,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR
4180,1475,W 52ND AV,OAKRIDGE,7,W 52ND AV,1400,ODD,N,2,8.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
3624,1002,W 45TH AV,OAKRIDGE,22,OAK ST,6100,ODD,N,2,3.00,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
3625,6151,OAK ST,OAKRIDGE,7,OAK ST,6100,ODD,N,2,3.00,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
3626,6155,OAK ST,OAKRIDGE,3,OAK ST,6100,ODD,N,2,3.50,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
3670,6179,OAK ST,OAKRIDGE,6,OAK ST,6100,ODD,N,2,3.50,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
3671,6183,OAK ST,OAKRIDGE,5,OAK ST,6100,ODD,N,3,3.75,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
3673,6183,OAK ST,OAKRIDGE,1,OAK ST,6100,ODD,N,2,3.00,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
5746,1001,W 46TH AV,OAKRIDGE,9,OAK ST,6100,ODD,N,2,3.25,,4,N,Y,ARMSTRONG,ACER,FREEMANI   X,ARMSTRONG RED MAPLE
5747,1002,W 45TH AV,OAKRIDGE,4,W 45TH AV,1000,EVEN,N,1,5.00,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
6786,1187,W 42ND AV,OAKRIDGE,1,W 42ND AV,1100,ODD,N,4,23.00,,B,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR
5106,1006,W 45TH AV,OAKRIDGE,6,W 45TH AV,1000,EVEN,N,1,3.75,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
5186,1012,W 45TH AV,OAKRIDGE,1,W 45TH AV,1000,EVEN,N,1,3.75,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
5195,1018,W 45TH AV,OAKRIDGE,3,W 45TH AV,1000,EVEN,N,1,3.50,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
10381,1017,W 46TH AV,OAKRIDGE,6,W 46TH AV,1000,ODD,N,2,4.00,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
8585,1011,W 46TH AV,OAKRIDGE,3,W 46TH AV,1000,ODD,N,1,3.00,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
9563,1003,W 46TH AV,OAKRIDGE,1,W 46TH AV,1000,ODD,N,2,4.50,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
9564,1001,W 46TH AV,OAKRIDGE,4,W 46TH AV,1000,ODD,N,2,4.50,,5,N,Y, ,LIQUIDAMBAR,SPECIES,SWEETGUM SPECIES
12344,388,W 46TH AV,OAKRIDGE,4,W 46TH AV,300,EVEN,N,1,3.00,20090401,N,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
12747,5888,CAMBIE ST,OAKRIDGE,1,CAMBIE ST,5800,EVEN,N,1,3.00,20091119,C,Y,Y,DAWYCKII,FAGUS,SYLVATICA,DAWYCK'S BEECH
12725,5892,CAMBIE ST,OAKRIDGE,3,CAMBIE ST,5800,EVEN,N,1,3.00,20091119,C,Y,Y,DAWYCKII,FAGUS,SYLVATICA,DAWYCK'S BEECH
13749,6929,CAMBIE ST,OAKRIDGE,29,CAMBIE ST,6900,MED,N,1,3.00,20091207,35,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
13017,5912,CAMBIE ST,OAKRIDGE,6,CAMBIE ST,5900,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
13091,5962,CAMBIE ST,OAKRIDGE,4,CAMBIE ST,5900,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
13098,6012,CAMBIE ST,OAKRIDGE,4,CAMBIE ST,6000,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
13099,6014,CAMBIE ST,OAKRIDGE,7,CAMBIE ST,6000,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
13100,6108,CAMBIE ST,OAKRIDGE,7,CAMBIE ST,6100,EVEN,N,1,3.00,20091217,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
13106,6062,CAMBIE ST,OAKRIDGE,7,CAMBIE ST,6000,EVEN,N,1,3.00,20091118,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
