TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
555,3586,DIEPPE DRIVE,RENFREW - COLLINGWOOD,2,DIEPPE DRIVE,3500,EVEN,N,1,4.00,20090212,12,N,Y,DAWYCKII GOLD,FAGUS,SYLVATICA,GOLDEN DAWYCK BEECH
758,2909,GRANDVIEW HIGHWAY,RENFREW - COLLINGWOOD,1,GRANDVIEW HIGHWAY,2900,ODD,N,1,3.00,,B,N,Y,VICTORIA,MAGNOLIA,GRANDIFLORA,VICTORIA MAGNOLIA
1682,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,1,CROWLEY DRIVE,3500,EVEN,N,3,6.00,,6,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
1686,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,4,CROWLEY DRIVE,3500,EVEN,N,3,5.50,,6,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
1688,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,5,CROWLEY DRIVE,3500,EVEN,N,3,5.50,,6,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
1691,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,6,CROWLEY DRIVE,3500,EVEN,N,3,5.00,,6,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
1693,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,7,CROWLEY DRIVE,3500,EVEN,N,3,5.50,,6,N,Y, ,ACER,CAMPESTRE,HEDGE MAPLE
1695,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,21,ABERDEEN ST,5300,ODD,N,3,5.25,,6,N,Y, ,PARROTIA,PERSICA,PERSIAN IRONWOOD
1697,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,22,ABERDEEN ST,5300,ODD,N,3,5.00,,6,N,Y, ,PARROTIA,PERSICA,PERSIAN IRONWOOD
1699,3588,CROWLEY DRIVE,RENFREW - COLLINGWOOD,23,ABERDEEN ST,5300,ODD,N,3,7.00,,6,N,Y, ,PARROTIA,PERSICA,PERSIAN IRONWOOD
341,3990,KASLO ST,RENFREW - COLLINGWOOD,10,W 24TH AV,2800,ODD,N,1,3.50,20041203,8,N,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE
4195,4260,SLOCAN ST,RENFREW - COLLINGWOOD,7,SLOCAN ST,4200,EVEN,N,3,26.00,,B,N,Y, ,ACER,PSEUDOPLATANUS,SYCAMORE MAPLE
3623,3205,QUEENS AV,RENFREW - COLLINGWOOD,21,RUPERT ST,4700,EVEN,N,4,32.00,,B,N,Y, ,ACER,MACROPHYLLUM,BIGLEAF MAPLE
4970,3539,E 26TH AV,RENFREW - COLLINGWOOD,2,E 26TH AV,3500,ODD,N,1,3.00,20070307,10,Y,Y,AUTUMN BLAZE,ACER,FREEMANI   X,AUTUMN BLAZE RED MAPLE
9331,2610,E 10TH AV,RENFREW - COLLINGWOOD,24,TO BE DETERMINED,0,TBD,N,3,12.00,,8,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
9332,2813,E 10TH AV,RENFREW - COLLINGWOOD,5,E 10TH AV,2800,ODD,N,5,24.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9333,2819,E 10TH AV,RENFREW - COLLINGWOOD,5,E 10TH AV,2800,ODD,N,6,24.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9334,2820,E 10TH AV,RENFREW - COLLINGWOOD,5,E 10TH AV,2800,EVEN,N,5,26.50,,7,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9335,2828,E 10TH AV,RENFREW - COLLINGWOOD,3,E 10TH AV,2800,EVEN,N,5,26.50,,7,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9336,2833,E 10TH AV,RENFREW - COLLINGWOOD,3,E 10TH AV,2800,ODD,N,5,28.50,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9337,2839,E 10TH AV,RENFREW - COLLINGWOOD,5,E 10TH AV,2800,ODD,N,5,20.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9340,2851,E 10TH AV,RENFREW - COLLINGWOOD,2,E 10TH AV,2800,ODD,N,5,28.00,,N,N,Y, ,QUERCUS,ROBUR,ENGLISH OAK
9341,2856,E 10TH AV,RENFREW - COLLINGWOOD,2,E 10TH AV,2800,EVEN,N,5,27.00,,7,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9342,2857,E 10TH AV,RENFREW - COLLINGWOOD,2,E 10TH AV,2800,ODD,N,5,28.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9343,2863,E 10TH AV,RENFREW - COLLINGWOOD,6,E 10TH AV,2800,ODD,N,5,28.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9344,2870,E 10TH AV,RENFREW - COLLINGWOOD,4,E 10TH AV,2800,EVEN,N,5,26.00,,7,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9345,2875,E 10TH AV,RENFREW - COLLINGWOOD,3,E 10TH AV,2800,ODD,N,5,19.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9346,2878,E 10TH AV,RENFREW - COLLINGWOOD,2,E 10TH AV,2800,EVEN,N,5,31.50,,7,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9347,2881,E 10TH AV,RENFREW - COLLINGWOOD,2,E 10TH AV,2800,ODD,N,3,10.00,,N,N,Y, ,CORYLUS,SPECIES,FILBERT SPECIES
9348,2881,E 10TH AV,RENFREW - COLLINGWOOD,5,E 10TH AV,2800,ODD,N,5,22.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9349,2895,E 10TH AV,RENFREW - COLLINGWOOD,2,E 10TH AV,2800,ODD,N,5,28.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9350,2895,E 10TH AV,RENFREW - COLLINGWOOD,4,E 10TH AV,2800,ODD,N,5,24.50,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
9351,2895,E 10TH AV,RENFREW - COLLINGWOOD,6,E 10TH AV,2800,ODD,N,5,22.50,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
10604,2438,E 11TH AV,RENFREW - COLLINGWOOD,1,E 11TH AV,2400,EVEN,N,2,10.00,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10607,2465,E 11TH AV,RENFREW - COLLINGWOOD,7,E 11TH AV,2400,ODD,N,2,17.00,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10608,2470,E 11TH AV,RENFREW - COLLINGWOOD,5,E 11TH AV,2400,EVEN,N,2,7.50,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10609,2484,E 11TH AV,RENFREW - COLLINGWOOD,6,E 11TH AV,2400,EVEN,N,2,7.00,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10610,2487,E 11TH AV,RENFREW - COLLINGWOOD,3,E 11TH AV,2400,ODD,N,2,9.00,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10611,2495,E 11TH AV,RENFREW - COLLINGWOOD,3,E 11TH AV,2400,ODD,N,3,6.50,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10612,2496,E 11TH AV,RENFREW - COLLINGWOOD,3,E 11TH AV,2400,EVEN,N,2,11.00,,6,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
10617,3502,E 11TH AV,RENFREW - COLLINGWOOD,5,E 11TH AV,3500,EVEN,Y,4,30.00,,N,N,Y, ,POPULUS,ALBA,WHITE POPLAR
7568,3594,E 25TH AV,RENFREW - COLLINGWOOD,19,KOOTENAY ST,4100,ODD,N,1,3.00,20090218,B,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
7569,3594,E 25TH AV,RENFREW - COLLINGWOOD,21,KOOTENAY ST,4100,ODD,N,1,3.00,20090218,B,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
9626,2777,E 25TH AV,RENFREW - COLLINGWOOD,1,E 25TH AV,2700,ODD,N,2,4.50,,8,N,Y,INERMIS,GLEDITSIA,TRIACANTHOS,THORNLESS HONEYLOCUST
10982,30,FALAISE AV,RENFREW - COLLINGWOOD,28,FALAISE AV,3500,ODD,N,1,3.00,20091204,30,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
9956,4438,SLOCAN ST,RENFREW - COLLINGWOOD,3,SLOCAN ST,4400,EVEN,N,1,3.50,20050210,20,N,Y,VILLAGE GREEN,ZELKOVA,SERRATA,VILLAGE GREEN ZELKOVA 
11025,79,DIEPPE DRIVE,RENFREW - COLLINGWOOD,2,DIEPPE DRIVE,0,ODD,N,1,3.25,20090213,4,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
11027,10,DIEPPE DRIVE,RENFREW - COLLINGWOOD,8,DIEPPE DRIVE,3200,EVEN,N,1,3.25,20090213,N,N,Y,DAWYCKII GOLD,FAGUS,SYLVATICA,GOLDEN DAWYCK BEECH
