TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
624,6,W 27TH AV,RILEY PARK,24,ONTARIO ST,4300,ODD,N,1,3.00,20050330,8,N,Y, ,MANGLIETIA,INSIGNIS,MANGLETIA
549,5125,KERSLAND DRIVE,RILEY PARK,5,KERSLAND DRIVE,5100,ODD,N,1,3.00,20091112,N,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE
1780,481,E 38TH AV,RILEY PARK,8,E 38TH AV,400,ODD,N,3,18.00,,L,N,N, ,CEDRUS,DEODARA,DEODAR CEDAR
1812,481,E 38TH AV,RILEY PARK,9,E 38TH AV,400,ODD,N,2,7.00,,L,N,Y, ,PINUS,SPECIES,PINE SPECIES
1814,481,E 38TH AV,RILEY PARK,9,E 38TH AV,400,ODD,N,2,10.00,, ,N,Y,CRIMSON KING,ACER,PLATANOIDES,CRIMSON KING NORWAY MAPLE
1835,481,E 38TH AV,RILEY PARK,10,E 38TH AV,400,ODD,N,2,6.00,, ,N,Y, ,PICEA,GLAUCA,WHITE SPRUCE
2731,4399,QUEBEC ST,RILEY PARK,24,E 28TH AV,100,ODD,N,1,2.00,,10,N,Y, ,THUJA,PLICATA,WESTERN RED CEDAR
651,3350,MANITOBA ST,RILEY PARK,4,MANITOBA ST,3300,EVEN,N,1,3.00,20090226,10,N,Y,NIGRA,PRUNUS,CERASIFERA,NIGHT PURPLE LEAF PLUM
655,4298,MAIN ST,RILEY PARK,2,MAIN ST,4200,EVEN,N,1,3.00,20081103,c,N,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD
662,546,E 20TH AV,RILEY PARK,5,E 20TH AV,500,EVEN,N,1,3.00,20050120,7,Y,Y,VANESSA,PARROTIA,PERSICA,VANESSA PERSIAN IRONWOOD
1713,158,E 26TH AV,RILEY PARK,19,E 26TH AV,100,EVEN,N,5,29.00,,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR
1853,481,E 38TH AV,RILEY PARK,10,E 38TH AV,400,ODD,N,2,4.50,,3,N,N, ,SORBUS,AMERICANA,AMERICAN MOUNTAIN ASH
1857,481,E 38TH AV,RILEY PARK,12,E 38TH AV,400,ODD,N,3,11.00,,L,N,N, ,CEDRUS,DEODARA,DEODAR CEDAR
1867,481,E 38TH AV,RILEY PARK,12,E 38TH AV,400,ODD,N,3,15.00,,L,N,N, ,CEDRUS,DEODARA,DEODAR CEDAR
1656,96,E 19TH AV,RILEY PARK,23,QUEBEC ST,3500,ODD,N,1,4.00,,8,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
1701,476,E 38TH AV,RILEY PARK,21,E 38TH AV,400,EVEN,N,5,25.00,,L,N,N, ,ACER,RUBRUM,RED MAPLE
1703,476,E 38TH AV,RILEY PARK,22,E 38TH AV,400,EVEN,N,2,8.00,,L,N,N, ,CASTANEA,SATIVA,SPANISH CHESTNUT
1980,99,W 37TH AV,RILEY PARK,7,W 37TH AV,0,ODD,Y,1,3.00,20101119,3,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
6193,5126,KERSLAND DRIVE,RILEY PARK,4,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6195,5141,KERSLAND DRIVE,RILEY PARK,1,KERSLAND DRIVE,5100,ODD,N,1,3.00,20091112,N,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE
6199,5142,KERSLAND DRIVE,RILEY PARK,3,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6201,5157,KERSLAND DRIVE,RILEY PARK,3,KERSLAND DRIVE,5100,ODD,N,1,3.00,20091113,N,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE
6203,5158,KERSLAND DRIVE,RILEY PARK,1,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6205,5158,KERSLAND DRIVE,RILEY PARK,5,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6208,5175,KERSLAND DRIVE,RILEY PARK,5,KERSLAND DRIVE,5100,ODD,N,1,3.00,20091113,N,N,Y,OSAKAZUKI,ACER,PALMATUM,OSAKAZUKI JAPANESE MAPLE
6210,5176,KERSLAND DRIVE,RILEY PARK,2,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6212,5176,KERSLAND DRIVE,RILEY PARK,4,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6215,5194,KERSLAND DRIVE,RILEY PARK,5,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
6217,5194,KERSLAND DRIVE,RILEY PARK,6,KERSLAND DRIVE,5100,EVEN,Y,1,3.00,20091109,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
4539,351,W 17TH AV,RILEY PARK,2,W 17TH AV,300,ODD,N,2,6.50,,B,N,Y,ATROPURPUREUM,ACER,PALMATUM,RED JAPANESE MAPLE
4540,351,W 17TH AV,RILEY PARK,5,W 17TH AV,300,ODD,N,2,7.00,,B,N,Y,ATROPURPUREUM,ACER,PALMATUM,RED JAPANESE MAPLE
7860,5244,KERSLAND DRIVE,RILEY PARK,4,KERSLAND DRIVE,5200,EVEN,Y,1,3.00,20091106,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
7862,5258,KERSLAND DRIVE,RILEY PARK,3,KERSLAND DRIVE,5200,EVEN,Y,1,3.00,20091106,8,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
