TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
592,1799,W KING EDWARD AV,SHAUGHNESSY,27,W KING EDWARD AV,1700,MED,N,1,3.00,20100104,30,N,Y, ,ABIES,GRANDIS,GRAND FIR
1596,1228,W 38TH AV,SHAUGHNESSY,5,W 38TH AV,1200,EVEN,N,2,5.00,,N,N,Y, ,GLEDITSIA,TRIACANTHOS,HONEYLOCUST
2110,1037,W KING EDWARD AV,SHAUGHNESSY,26,W KING EDWARD AV,1000,MED,N,1,3.00,20091221,30,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR
720,1708,W 40TH AV,SHAUGHNESSY,24,MARGUERITE ST,5600,ODD,N,1,3.00,20090216,10,N,Y,QUEEN ELIZABETH,ACER,CAMPESTRE,QUEEN ELIZABETH MAPLE
585,1570,BALFOUR AV,SHAUGHNESSY,2,BALFOUR AV,1500,EVEN,N,1,3.00,20090204,8,Y,Y,GLOBOSUM,ACER,PLATANOIDES,GLOBEHEAD NORWAY MAPLE
948,4669,OSLER ST,SHAUGHNESSY,6,OSLER ST,4600,ODD,N,3,5.00,,8,N,Y, ,CRATAEGUS,OXYACANTHA,ENGLISH HAWTHORN
4374,4361,ANGUS DRIVE,SHAUGHNESSY,4,ANGUS DRIVE,4300,ODD,N,2,10.50,,10,N,Y,AKEBONO,PRUNUS,YEDOENSIS   X,AKEBONO FLOWERING CHERRY
4409,1168,W 39TH AV,SHAUGHNESSY,2,W 39TH AV,1100,EVEN,N,2,5.00,,N,N,Y, ,CORNUS,NUTTALLII,PACIFIC DOGWOOD
4458,1168,W 39TH AV,SHAUGHNESSY,3,W 39TH AV,1100,EVEN,N,2,6.00,,N,N,Y, ,ILEX,AQUIFOLIUM,ENGLISH HOLLY
3448,1493,W 32ND AV,SHAUGHNESSY,3,W 32ND AV,1400,ODD,N,2,5.25,,9,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST
3451,1493,W 32ND AV,SHAUGHNESSY,4,W 32ND AV,1400,ODD,N,2,6.25,,9,N,Y, ,ROBINIA,PSEUDOACACIA,BLACK LOCUST
4495,1168,W 39TH AV,SHAUGHNESSY,4,W 39TH AV,1100,EVEN,N,2,8.00,,N,N,Y, ,PSEUDOTSUGA,MENZIESII,DOUGLAS FIR
6944,1652,PINE CRESCENT,SHAUGHNESSY,2,PINE CRESCENT,1600,EVEN,N,2,16.50,,3,N,Y, ,PRUNUS,SPECIES,"CHERRY, PLUM OR PEACH SPECIES"
7224,1272,CONNAUGHT DRIVE,SHAUGHNESSY,16,CONNAUGHT DRIVE,1200,EVEN,N,3,16.00,,L,N,N, ,PRUNUS,SPECIES,"CHERRY, PLUM OR PEACH SPECIES"
8592,1468,W 26TH AV,SHAUGHNESSY,15,W 26TH AV,1400,EVEN,N,6,32.00,,L,N,N, ,ULMUS,AMERICANA,AMERICAN ELM
8593,1468,W 26TH AV,SHAUGHNESSY,15,W 26TH AV,1400,EVEN,N,2,12.00,,L,N,N, ,PRUNUS,AVIUM,MAZZARD CHERRY
12505,1599,W KING EDWARD AV,SHAUGHNESSY,27,W KING EDWARD AV,2700,MED,N,1,3.00,20100222,30,N,Y, ,CEDRUS,DEODARA,DEODAR CEDAR
11971,3751,CYPRESS ST,SHAUGHNESSY,2,CYPRESS ST,3700,ODD,N,5,10.00,,8,N,Y, ,PLATANUS,ACERIFOLIA   X,LONDON PLANE TREE
14010,1063,W KING EDWARD AV,SHAUGHNESSY,25,W KING EDWARD AV,1000,MED,N,1,3.00,20100221,35,N,Y, ,ABIES,GRANDIS,GRAND FIR
14224,1227,W KING EDWARD AV,SHAUGHNESSY,27,W KING EDWARD AV,1200,MED,N,1,3.00,20091216,30,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
14226,1227,W KING EDWARD AV,SHAUGHNESSY,29,W KING EDWARD AV,1200,MED,N,1,3.00,20091216,30,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
18515,3388,MAPLE ST,SHAUGHNESSY,20,W 17TH AV,1900,EVEN,N,8,22.50,,B,N,Y, ,ULMUS,GLABRA,SCOTS ELM 
18516,3388,MAPLE ST,SHAUGHNESSY,22,W 17TH AV,1900,EVEN,N,1,4.00,20051208,B,Y,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
18517,3388,MAPLE ST,SHAUGHNESSY,23,W 17TH AV,1900,EVEN,N,6,14.50,,B,N,Y,DALECARLICA,BETULA,PENDULA,WEEPING CUTLEAF BIRCH
19238,789,W 18TH AV,SHAUGHNESSY,1,W 18TH AV,700,ODD,N,4,16.50,,10,N,Y,ATROPURPUREUM,ACER,PSEUDOPLATANUS,PURPLE LEAF SYCAMORE MAPLE
19239,789,W 18TH AV,SHAUGHNESSY,7,W 18TH AV,700,ODD,N,5,36.00,,10,N,Y, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
19240,789,W 18TH AV,SHAUGHNESSY,12,WILLOW ST,3300,EVEN,N,5,21.50,,8,N,Y, ,ACER,PSEUDOPLATANUS,SYCAMORE MAPLE
19241,789,W 18TH AV,SHAUGHNESSY,24,WILLOW ST,3300,EVEN,N,4,14.00,,8,N,Y, ,ACER,PSEUDOPLATANUS,SYCAMORE MAPLE
17274,1020,W 16TH AV,SHAUGHNESSY,1,W 16TH AV,1000,EVEN,N,1,8.00,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17275,1020,W 16TH AV,SHAUGHNESSY,4,W 16TH AV,1000,EVEN,N,1,6.50,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17276,1040,W 16TH AV,SHAUGHNESSY,2,W 16TH AV,1000,EVEN,N,1,6.00,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17277,1040,W 16TH AV,SHAUGHNESSY,7,W 16TH AV,1000,EVEN,N,1,6.00,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17278,1048,W 16TH AV,SHAUGHNESSY,3,W 16TH AV,1000,EVEN,N,1,6.00,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17279,1080,W 16TH AV,SHAUGHNESSY,1,W 16TH AV,1000,EVEN,N,1,10.50,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17280,1080,W 16TH AV,SHAUGHNESSY,5,W 16TH AV,1000,EVEN,N,1,10.00,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
17281,1096,W 16TH AV,SHAUGHNESSY,1,W 16TH AV,1100,EVEN,N,1,4.50,,4,N,Y,KWANZAN,PRUNUS,SERRULATA,KWANZAN FLOWERING CHERRY
18473,1803,W 17TH AV,SHAUGHNESSY,2,W 17TH AV,1800,ODD,N,3,13.50,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18474,1803,W 17TH AV,SHAUGHNESSY,5,W 17TH AV,1800,ODD,N,3,22.00,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18475,1819,W 17TH AV,SHAUGHNESSY,5,W 17TH AV,1800,ODD,N,2,3.00,20040202,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18476,1833,W 17TH AV,SHAUGHNESSY,2,W 17TH AV,1800,ODD,N,3,13.50,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18477,1833,W 17TH AV,SHAUGHNESSY,7,W 17TH AV,1800,ODD,N,3,10.75,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18480,1851,W 17TH AV,SHAUGHNESSY,2,W 17TH AV,1800,ODD,N,3,9.50,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18482,1868,W 17TH AV,SHAUGHNESSY,3,W 17TH AV,1800,EVEN,N,3,13.00,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18483,1868,W 17TH AV,SHAUGHNESSY,5,W 17TH AV,1800,EVEN,N,3,12.75,,10,N,Y, ,MAGNOLIA,KOBUS,KOBUS MAGNOLIA
18488,1890,W 17TH AV,SHAUGHNESSY,5,W 17TH AV,1800,EVEN,N,2,12.00,,10,N,Y, ,CORNUS,KOUSA,JAPANESE DOGWOOD
