TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
1459,708,W 26TH AV,SOUTH CAMBIE,99,W 26TH AV,700,MED,N,2,5.00,,C,N,Y, ,BETULA,JACQUEMONTII,WHITE HIMALAYAN BIRCH
1933,716,W 22ND AV,SOUTH CAMBIE,20,W 22ND AV,700,EVEN,N,4,19.00,,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR
2454,716,W 22ND AV,SOUTH CAMBIE,21,W 22ND AV,700,EVEN,N,4,14.50,,L,N,N, ,THUJA,PLICATA,WESTERN RED CEDAR
1870,681,W 17TH AV,SOUTH CAMBIE,20,W 17TH AV,600,ODD,N,4,28.00,,L,N,N, ,ACER,PLATANOIDES,NORWAY MAPLE
1876,726,W 16TH AV,SOUTH CAMBIE,13,W 16TH AV,700,EVEN,N,4,17.00,,L,N,N, ,ULMUS,AMERICANA,AMERICAN ELM
1905,3819,HEATHER ST,SOUTH CAMBIE,14,HEATHER ST,3800,ODD,N,2,5.00,,3,N,N, ,BETULA,PENDULA,EUROPEAN WHITE BIRCH
1707,809,W 24TH AV,SOUTH CAMBIE,24,W 24TH AV,800,ODD,N,5,27.25,,L,N,N, ,AESCULUS,HIPPOCASTANUM,COMMON HORSECHESTNUT
1709,912,W 23RD AV,SOUTH CAMBIE,18,W 23RD AV,900,EVEN,N,4,30.00,,L,N,N, ,JUGLANS,NIGRA,BLACK WALNUT
334,4577,CAMBIE ST,SOUTH CAMBIE,31,CAMBIE ST,4500,MED,N,1,3.00,20091116,35,N,Y,EDDIE'S WHITE WONDER,CORNUS,XX,EDDIES WHITE WONDER DOGWOOD 
336,4711,CAMBIE ST,SOUTH CAMBIE,29,CAMBIE ST,4700,MED,N,1,3.00,20090420,35,N,Y, ,ACER,GRISEUM,PAPERBARK MAPLE
