TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
551,219,UNION ST,STRATHCONA,2,UNION ST,200,ODD,N,3,4.50,,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD
856,906,MAIN ST,STRATHCONA,23,PRIOR ST,200,EVEN,N,1,3.00,20090218,C,Y,Y,CARDINAL ROYAL,SORBUS,AUCUPARIA,CARDINAL ROYAL MOUNTAIN ASH
2649,219,UNION ST,STRATHCONA,7,UNION ST,200,ODD,N,3,4.50,,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD
2650,227,UNION ST,STRATHCONA,1,UNION ST,200,ODD,N,3,4.50,,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD
466,231,UNION ST,STRATHCONA,3,UNION ST,200,ODD,N,3,4.50,,3,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD
467,237,UNION ST,STRATHCONA,7,UNION ST,200,ODD,N,3,4.50,,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD
702,243,UNION ST,STRATHCONA,2,UNION ST,200,ODD,N,3,4.50,,8,N,Y, ,CERCIS,CANADENSIS,EASTERN REDBUD
1133,350,E 2ND AV,STRATHCONA,2,E 2ND AV,300,EVEN,N,4,21.00,,3,N,Y, ,ULMUS,AMERICANA,AMERICAN ELM
2021,778,PRIOR ST,STRATHCONA,7,PRIOR ST,700,EVEN,Y,5,12.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
2029,776,PRIOR ST,STRATHCONA,3,PRIOR ST,700,EVEN,Y,5,13.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
2030,776,PRIOR ST,STRATHCONA,5,PRIOR ST,700,EVEN,Y,5,14.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
4191,919,STATION ST,STRATHCONA,13,PRIOR ST,200,EVEN,N,1,4.00,20050704,C,N,Y,CARDINAL ROYAL,SORBUS,AUCUPARIA,CARDINAL ROYAL MOUNTAIN ASH
4253,439,RAILWAY ST,STRATHCONA,5,RAILWAY ST,400,ODD,N,3,12.00,,B,N,Y, ,TSUGA,HETEROPHYLLA,WESTERN HEMLOCK
4254,439,RAILWAY ST,STRATHCONA,6,RAILWAY ST,400,ODD,N,3,11.00,,B,N,Y, ,TSUGA,HETEROPHYLLA,WESTERN HEMLOCK
4255,439,RAILWAY ST,STRATHCONA,7,RAILWAY ST,400,ODD,N,3,19.00,,B,N,Y, ,TSUGA,HETEROPHYLLA,WESTERN HEMLOCK
4372,487,ALEXANDER ST,STRATHCONA,6,ALEXANDER ST,400,ODD,N,3,6.00,,2,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4380,487,ALEXANDER ST,STRATHCONA,7,ALEXANDER ST,400,ODD,N,3,6.00,,2,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4381,487,ALEXANDER ST,STRATHCONA,8,JACKSON AV,0,ODD,N,2,7.00,,3,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4383,487,ALEXANDER ST,STRATHCONA,9,JACKSON AV,0,ODD,N,2,6.00,,3,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4384,487,ALEXANDER ST,STRATHCONA,10,JACKSON AV,0,ODD,N,2,6.00,,3,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4385,487,ALEXANDER ST,STRATHCONA,11,JACKSON AV,0,ODD,N,2,6.00,,3,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4386,487,ALEXANDER ST,STRATHCONA,12,JACKSON AV,0,ODD,N,2,7.00,,3,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
4389,487,ALEXANDER ST,STRATHCONA,13,JACKSON AV,0,ODD,N,2,5.00,,3,N,Y, ,CARPINUS,BETULUS,EUROPEAN HORNBEAM
6428,772,PRIOR ST,STRATHCONA,4,PRIOR ST,700,EVEN,Y,5,9.00,,B,N,Y, ,ABIES,GRANDIS,GRAND FIR
4643,776,PRIOR ST,STRATHCONA,6,PRIOR ST,700,EVEN,Y,5,9.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
3668,502,ATLANTIC ST,STRATHCONA,1,ATLANTIC ST,500,EVEN,Y,1,3.00,20130412,5,N,Y, ,ACER,GINNALA,AMUR MAPLE
6030,772,PRIOR ST,STRATHCONA,1,PRIOR ST,700,EVEN,Y,5,11.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
4325,730,ALEXANDER ST,STRATHCONA,7,ALEXANDER ST,700,EVEN,N,2,7.00,,5,N,Y,ATROPURPUREUM,PRUNUS,CERASIFERA,PISSARD PLUM
8726,772,PRIOR ST,STRATHCONA,5,PRIOR ST,700,EVEN,Y,4,7.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
9684,2102,GREAT NORTHERN WAY,STRATHCONA,5,GREAT NORTHERN WAY,2100,EVEN,N,3,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9685,2102,GREAT NORTHERN WAY,STRATHCONA,4,GREAT NORTHERN WAY,2100,EVEN,N,3,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9686,2102,GREAT NORTHERN WAY,STRATHCONA,5,GREAT NORTHERN WAY,2100,EVEN,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9687,1205,GREAT NORTHERN WAY,STRATHCONA,3,GREAT NORTHERN WAY,1200,ODD,N,2,4.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9688,2102,GREAT NORTHERN WAY,STRATHCONA,6,GREAT NORTHERN WAY,2100,EVEN,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9773,2102,GREAT NORTHERN WAY,STRATHCONA,6,GREAT NORTHERN WAY,2100,EVEN,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9775,2102,GREAT NORTHERN WAY,STRATHCONA,7,GREAT NORTHERN WAY,2100,EVEN,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9782,1205,GREAT NORTHERN WAY,STRATHCONA,5,GREAT NORTHERN WAY,1200,ODD,N,2,4.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9783,1256,GREAT NORTHERN WAY,STRATHCONA,3,GREAT NORTHERN WAY,1200,EVEN,N,2,3.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9786,1256,GREAT NORTHERN WAY,STRATHCONA,5,GREAT NORTHERN WAY,1200,EVEN,N,2,4.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9790,1256,GREAT NORTHERN WAY,STRATHCONA,7,GREAT NORTHERN WAY,1200,EVEN,N,2,4.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9641,1155,GREAT NORTHERN WAY,STRATHCONA,4,GREAT NORTHERN WAY,1100,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9645,1155,GREAT NORTHERN WAY,STRATHCONA,4,GREAT NORTHERN WAY,1100,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9647,1155,GREAT NORTHERN WAY,STRATHCONA,5,GREAT NORTHERN WAY,1100,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9652,1155,GREAT NORTHERN WAY,STRATHCONA,5,GREAT NORTHERN WAY,1100,ODD,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9654,1155,GREAT NORTHERN WAY,STRATHCONA,6,GREAT NORTHERN WAY,1100,ODD,N,3,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9657,1155,GREAT NORTHERN WAY,STRATHCONA,6,GREAT NORTHERN WAY,1100,ODD,N,3,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9659,1155,GREAT NORTHERN WAY,STRATHCONA,7,GREAT NORTHERN WAY,1100,ODD,N,3,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9662,2102,GREAT NORTHERN WAY,STRATHCONA,2,GREAT NORTHERN WAY,2100,EVEN,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
9806,2217,CLARK DRIVE,STRATHCONA,5,CLARK DRIVE,2200,ODD,N,2,4.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9795,2217,CLARK DRIVE,STRATHCONA,3,CLARK DRIVE,2200,ODD,N,2,4.00,,3,N,Y, ,CERCIDIPHYLLUM,JAPONICUM,KATSURA TREE
9663,2102,GREAT NORTHERN WAY,STRATHCONA,3,GREAT NORTHERN WAY,2100,EVEN,N,2,4.00,,3,N,Y, ,FRAXINUS,ORNUS,FLOWERING ASH
8895,772,PRIOR ST,STRATHCONA,7,PRIOR ST,700,EVEN,Y,5,11.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
11208,768,PRIOR ST,STRATHCONA,2,PRIOR ST,700,EVEN,Y,5,9.00,,B,N,Y, ,PINUS,CONTORTA,SHORE PINE
