TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
631,6121,INVERNESS ST,SUNSET,5,INVERNESS ST,6100,ODD,Y,1,3.00,20081113,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
572,5954,CHESTER ST,SUNSET,1,CHESTER ST,5900,EVEN,N,1,3.00,20081110,7,N,Y,DAWYCKII GOLD,FAGUS,SYLVATICA,GOLDEN DAWYCK BEECH
1579,1196,E 57TH AV,SUNSET,1,E 57TH AV,1100,EVEN,Y,5,29.00,,B,N,Y, ,QUERCUS,COCCINEA,SCARLET OAK
1580,7339,SHERBROOKE ST,SUNSET,5,SHERBROOKE ST,7300,ODD,Y,5,22.50,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1587,7339,SHERBROOKE ST,SUNSET,3,SHERBROOKE ST,7300,ODD,Y,5,22.50,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1588,7343,SHERBROOKE ST,SUNSET,4,SHERBROOKE ST,7300,ODD,Y,5,25.50,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1592,7357,SHERBROOKE ST,SUNSET,1,SHERBROOKE ST,7300,ODD,Y,5,18.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1593,7381,SHERBROOKE ST,SUNSET,7,SHERBROOKE ST,7300,ODD,Y,5,20.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1595,7397,SHERBROOKE ST,SUNSET,4,SHERBROOKE ST,7300,ODD,Y,5,18.75,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1607,7413,SHERBROOKE ST,SUNSET,3,SHERBROOKE ST,7400,ODD,Y,5,19.00,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
1608,7425,SHERBROOKE ST,SUNSET,4,SHERBROOKE ST,7400,ODD,Y,5,19.75,,N,N,Y, ,ACER,PLATANOIDES,NORWAY MAPLE
