TREE_ID,CIVIC_NUMBER,STD_STREET,NEIGHBOURHOOD_NAME,CELL,ON_STREET,ON_STREET_BLOCK,STREET_SIDE_NAME,ASSIGNED,HEIGHT_RANGE_ID,DIAMETER,DATE_PLANTED,PLANT_AREA,ROOT_BARRIER,CURB,CULTIVAR_NAME,GENUS_NAME,SPECIES_NAME,COMMON_NAME
616,1713,E 55TH AV,VICTORIA - FRASERVIEW,5,E 55TH AV,1700,ODD,Y,1,3.00,20090324,12,N,Y,SHADEMASTER,GLEDITSIA,TRIACANTHOS,SHADEMASTER HONEYLOCUST
619,2259,E 55TH AV,VICTORIA - FRASERVIEW,7,E 55TH AV,2200,ODD,N,1,3.00,20090324,10,N,Y,ARIE PETERS,FRAXINUS,ORNUS,FLOWERING ASH
620,2271,E 55TH AV,VICTORIA - FRASERVIEW,7,E 55TH AV,2200,ODD,N,1,3.00,20090402,10,Y,Y,OCTOBER GLORY,ACER,RUBRUM,OCTOBER GLORY RED MAPLE
629,2737,E 57TH AV,VICTORIA - FRASERVIEW,9,VIVIAN DRIVE,7200,ODD,N,1,3.00,20050215,15,N,Y,SATOMI,CORNUS,KOUSA,PINK KOUSA DOGWOOD 
712,5858,WALES ST,VICTORIA - FRASERVIEW,7,WALES ST,5800,EVEN,N,1,3.00,,4,N,Y,IVORY SILK,SYRINGA,RETICULATA,TREE LILAC
1000,1766,E 49TH AV,VICTORIA - FRASERVIEW,2,E 49TH AV,1700,EVEN,Y,5,34.00,,B,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
656,2708,E 52ND AV,VICTORIA - FRASERVIEW,5,E 52ND AV,2700,EVEN,N,2,3.00,20050209,8,N,Y,ELWOODII,ACER,PLATANOIDES,ELWOOD NORWAY MAPLE
664,1758,E 49TH AV,VICTORIA - FRASERVIEW,5,E 49TH AV,1700,EVEN,Y,5,31.00,,B,N,Y, ,QUERCUS,PALUSTRIS,PIN OAK
756,2722,E 41ST AV,VICTORIA - FRASERVIEW,3,E 41ST AV,2700,EVEN,N,1,3.00,,3,N,Y,BOWHALL,ACER,RUBRUM,BOWHALL RED MAPLE
1037,1787,E 57TH AV,VICTORIA - FRASERVIEW,7,E 57TH AV,1700,ODD,N,2,8.00,,B,N,Y, ,CHAMAECYPARIS,PISIFERA,SAWARA FALSECYPRESS
