Idxcd,Idxnmabbr,Date,PrevClPr,Oppr,Hipr,Lopr,Clpr,Trdvol,Trdsum,Trades,Yrflg,Yrtrds,Qtrflg,Qtrtrds,Monflg,Montrds,Wkflg,Wktrds,InnerCode
000001,上证指数,1990-12-19,0.00,96.05,99.98,95.79,99.98,126000,494000.00,6,,,,,,,,,1
000001,上证指数,1990-12-20,99.98,104.30,104.39,99.98,104.39,19700,84000.00,15,,,,,,,,,1
000001,上证指数,1990-12-21,104.39,109.07,109.13,103.73,109.13,2800,16000.00,13,,,,,,,1,3,1
000001,上证指数,1990-12-24,109.13,113.57,114.55,109.13,114.55,3200,31000.00,36,,,,,,,,,1
000001,上证指数,1990-12-25,114.55,120.09,120.25,114.55,120.25,1500,6000.00,13,,,,,,,,,1
000001,上证指数,1990-12-26,120.25,125.27,125.27,120.25,125.27,10000,53000.00,7,,,,,,,,,1
000001,上证指数,1990-12-27,125.27,125.27,125.28,125.27,125.28,6600,104000.00,21,,,,,,,,,1
000001,上证指数,1990-12-28,125.28,126.39,126.45,125.28,126.45,10800,88000.00,16,,,,,,,1,5,1
000001,上证指数,1990-12-31,126.45,126.56,127.61,126.48,127.61,7800,60000.00,27,1,9,1,9,1,9,,,1
000001,上证指数,1991-01-02,127.61,127.61,128.84,127.61,128.84,9100,59000.00,7,,,,,,,,,1
000001,上证指数,1991-01-03,128.84,128.84,130.14,128.84,130.14,14100,93000.00,13,,,,,,,,,1
000001,上证指数,1991-01-04,130.14,131.27,131.44,130.14,131.44,42000,261000.00,16,,,,,,,1,4,1
000001,上证指数,1991-01-07,131.44,131.99,132.06,131.45,132.06,21700,141000.00,14,,,,,,,,,1
000001,上证指数,1991-01-08,132.06,132.62,132.68,132.06,132.68,292600,1806000.00,16,,,,,,,,,1
000001,上证指数,1991-01-09,132.68,133.30,133.34,132.68,133.34,560300,3228000.00,15,,,,,,,,,1
000001,上证指数,1991-01-10,133.34,133.93,133.97,133.34,133.97,999000,5399000.00,6,,,,,,,,,1
000001,上证指数,1991-01-11,133.97,134.61,134.61,134.51,134.60,1332700,7115000.00,8,,,,,,,1,5,1
000001,上证指数,1991-01-14,134.60,134.11,135.19,134.11,134.67,1253000,6883000.00,19,,,,,,,,,1
000001,上证指数,1991-01-15,134.67,134.21,134.74,134.19,134.74,144600,1010000.00,10,,,,,,,,,1
000001,上证指数,1991-01-16,134.74,134.19,134.74,134.14,134.24,50900,270000.00,10,,,,,,,,,1
000001,上证指数,1991-01-17,134.24,133.67,134.25,133.65,134.25,65800,334000.00,13,,,,,,,,,1
000001,上证指数,1991-01-18,134.25,133.70,134.25,133.67,134.24,300400,1570000.00,5,,,,,,,1,5,1
000001,上证指数,1991-01-21,134.24,133.70,134.24,133.66,134.24,205100,1029000.00,3,,,,,,,,,1
000001,上证指数,1991-01-22,134.24,133.72,134.24,133.66,133.72,35400,180000.00,11,,,,,,,,,1
000001,上证指数,1991-01-23,133.72,133.17,133.72,133.14,133.17,109500,575000.00,5,,,,,,,,,1
000001,上证指数,1991-01-24,133.17,132.61,133.17,132.57,132.61,185700,917000.00,6,,,,,,,,,1
000001,上证指数,1991-01-25,132.61,132.05,132.07,132.03,132.05,344700,1722000.00,12,,,,,,,1,5,1
000001,上证指数,1991-01-28,132.05,131.46,131.55,131.46,131.46,510700,2565000.00,21,,,,,,,,,1
000001,上证指数,1991-01-29,131.46,130.95,130.97,130.95,130.95,138700,710000.00,6,,,,,,,,,1
000001,上证指数,1991-01-30,130.95,130.44,130.95,130.41,130.44,52700,260000.00,4,,,,,,,,,1
000001,上证指数,1991-01-31,130.44,129.93,130.46,129.93,129.97,51000,244000.00,14,,,,,1,22,,,1
000001,上证指数,1991-02-01,129.97,129.50,129.97,129.45,129.51,34500,140000.00,7,,,,,,,1,5,1
000001,上证指数,1991-02-04,129.51,129.05,129.58,129.05,129.05,55300,273000.00,23,,,,,,,,,1
000001,上证指数,1991-02-05,129.05,128.56,128.58,128.53,128.58,856200,4250000.00,14,,,,,,,,,1
000001,上证指数,1991-02-06,128.58,129.13,129.15,128.06,129.14,664100,3847000.00,13,,,,,,,,,1
000001,上证指数,1991-02-07,129.14,129.74,129.79,129.14,129.79,213300,1504000.00,11,,,,,,,,,1
000001,上证指数,1991-02-08,129.79,130.36,130.39,129.79,130.38,123400,879000.00,3,,,,,,,1,5,1
000001,上证指数,1991-02-11,130.38,130.92,130.97,130.39,130.97,931700,4834000.00,10,,,,,,,,,1
000001,上证指数,1991-02-12,130.97,131.54,131.56,130.97,131.35,377400,1986000.00,4,,,,,,,,,1
000001,上证指数,1991-02-13,131.35,131.93,131.93,131.35,131.92,115200,673000.00,8,,,,,,,,,1
000001,上证指数,1991-02-14,131.92,132.53,132.53,132.30,132.53,362400,1883000.00,3,,,,,,,1,4,1
000001,上证指数,1991-02-19,132.53,133.12,133.14,133.08,133.13,174800,1216000.00,5,,,,,,,,,1
000001,上证指数,1991-02-20,133.13,133.63,133.67,133.13,133.67,87600,520000.00,6,,,,,,,,,1
000001,上证指数,1991-02-21,133.67,134.24,134.28,133.67,134.28,322000,1771000.00,3,,,,,,,,,1
000001,上证指数,1991-02-22,134.28,134.85,134.87,134.28,134.87,342700,2003000.00,8,,,,,,,1,4,1
000001,上证指数,1991-02-25,134.87,134.37,134.87,134.33,134.40,81000,621000.00,11,,,,,,,,,1
000001,上证指数,1991-02-26,134.40,133.90,134.44,133.90,133.93,109400,2545000.00,7,,,,,,,,,1
000001,上证指数,1991-02-27,133.93,133.44,133.98,133.44,133.47,21400,141000.00,4,,,,,,,,,1
000001,上证指数,1991-02-28,133.47,132.99,133.52,132.98,133.01,225800,1187000.00,6,,,,,1,18,,,1
000001,上证指数,1991-03-01,133.01,132.53,132.53,132.47,132.53,712400,3777000.00,5,,,,,,,1,5,1
000001,上证指数,1991-03-04,132.53,132.09,132.09,131.98,131.99,251800,1418000.00,11,,,,,,,,,1
000001,上证指数,1991-03-05,131.99,131.42,131.99,131.41,131.46,98200,934000.00,23,,,,,,,,,1
000001,上证指数,1991-03-06,131.46,130.89,130.95,130.89,130.94,71900,1345000.00,11,,,,,,,,,1
000001,上证指数,1991-03-07,130.94,130.41,130.94,130.41,130.41,56800,427000.00,11,,,,,,,,,1
000001,上证指数,1991-03-08,130.41,129.84,130.41,129.84,129.89,93300,541000.00,24,,,,,,,1,5,1
000001,上证指数,1991-03-11,129.89,129.30,129.89,129.30,129.31,51400,299000.00,18,,,,,,,,,1
000001,上证指数,1991-03-12,129.31,128.73,129.31,128.73,128.77,95700,783000.00,15,,,,,,,,,1
000001,上证指数,1991-03-13,128.77,126.13,128.77,126.13,126.15,49800,418000.00,30,,,,,,,,,1
000001,上证指数,1991-03-14,126.15,125.61,126.15,125.61,125.63,32600,242000.00,29,,,,,,,,,1
000001,上证指数,1991-03-15,125.63,125.08,125.62,125.08,125.17,79000,403000.00,27,,,,,,,1,5,1
000001,上证指数,1991-03-18,125.17,124.70,125.17,124.69,124.71,125000,1210000.00,42,,,,,,,,,1
000001,上证指数,1991-03-19,124.71,124.23,124.71,124.22,124.22,89200,682000.00,45,,,,,,,,,1
000001,上证指数,1991-03-20,124.22,123.66,124.21,123.63,123.66,67800,433000.00,14,,,,,,,,,1
000001,上证指数,1991-03-21,123.66,123.14,123.66,123.12,123.12,15100,131000.00,24,,,,,,,,,1
000001,上证指数,1991-03-22,123.12,122.62,123.12,122.62,122.62,20700,120000.00,20,,,,,,,1,5,1
000001,上证指数,1991-03-25,122.62,122.12,122.62,122.10,122.12,44300,324000.00,45,,,,,,,,,1
000001,上证指数,1991-03-26,122.12,121.62,122.14,121.62,121.62,116400,709000.00,37,,,,,,,,,1
000001,上证指数,1991-03-27,121.62,121.12,121.64,121.12,121.12,66800,366000.00,27,,,,,,,,,1
000001,上证指数,1991-03-28,121.12,120.65,121.15,120.61,120.61,96100,505000.00,29,,,,,,,,,1
000001,上证指数,1991-03-29,120.61,120.16,120.61,120.11,120.19,218500,2186000.00,27,,,1,61,1,21,1,5,1
000001,上证指数,1991-04-01,120.19,120.69,120.73,119.68,120.73,1199900,5666000.00,40,,,,,,,,,1
000001,上证指数,1991-04-02,120.73,121.21,121.29,120.73,121.21,81600,387000.00,47,,,,,,,,,1
000001,上证指数,1991-04-03,121.21,121.71,121.71,121.21,121.71,206300,977000.00,34,,,,,,,,,1
000001,上证指数,1991-04-04,121.71,122.20,122.20,121.24,121.72,1051700,5045000.00,15,,,,,,,,,1
000001,上证指数,1991-04-05,121.72,121.07,121.73,121.03,121.54,1158900,6035000.00,29,,,,,,,1,5,1
000001,上证指数,1991-04-08,121.54,121.11,121.11,121.05,121.09,186200,1675000.00,36,,,,,,,,,1
000001,上证指数,1991-04-09,121.09,120.60,121.10,120.60,120.62,32000,297000.00,48,,,,,,,,,1
000001,上证指数,1991-04-10,120.62,120.15,120.62,120.09,120.16,46600,281000.00,34,,,,,,,,,1
000001,上证指数,1991-04-11,120.16,119.64,120.16,119.62,119.64,23900,576000.00,28,,,,,,,,,1
000001,上证指数,1991-04-12,119.64,119.20,119.65,119.15,119.21,39900,301000.00,15,,,,,,,1,5,1
000001,上证指数,1991-04-15,119.21,118.73,119.22,118.72,118.77,30100,386000.00,46,,,,,,,,,1
000001,上证指数,1991-04-16,118.77,118.36,118.77,118.34,118.34,10500,177000.00,27,,,,,,,,,1
000001,上证指数,1991-04-17,118.34,117.92,118.34,117.89,117.90,20100,259000.00,27,,,,,,,,,1
000001,上证指数,1991-04-18,117.90,117.45,117.93,117.45,117.45,17800,133000.00,24,,,,,,,,,1
000001,上证指数,1991-04-19,117.45,117.08,117.50,117.05,117.08,64600,424000.00,20,,,,,,,1,5,1
000001,上证指数,1991-04-22,117.08,116.63,117.08,116.58,116.63,43000,321000.00,32,,,,,,,,,1
000001,上证指数,1991-04-23,116.63,116.21,116.63,116.15,116.19,28200,264000.00,41,,,,,,,,,1
000001,上证指数,1991-04-24,116.19,115.70,116.19,115.70,115.79,14800,121000.00,65,,,,,,,,,1
000001,上证指数,1991-04-25,115.79,115.38,115.79,115.33,115.36,149500,998000.00,34,,,,,,,,,1
000001,上证指数,1991-04-26,115.36,116.31,116.31,114.52,115.56,1335400,5806000.00,6,,,,,,,1,5,1
000001,上证指数,1991-04-29,115.56,114.86,116.29,114.75,114.75,841100,3610000.00,8,,,,,,,,,1
000001,上证指数,1991-04-30,114.75,113.89,114.87,113.89,113.94,485000,2734000.00,3,,,,,1,22,,,1
000001,上证指数,1991-05-02,113.94,113.04,113.20,113.03,113.16,146500,1124000.00,3,,,,,,,,,1
000001,上证指数,1991-05-03,113.16,112.46,113.17,112.30,112.41,423000,2386000.00,4,,,,,,,1,4,1
000001,上证指数,1991-05-06,112.41,111.65,112.41,111.57,111.61,276400,1423000.00,,,,,,,,,,1
