"Stkcd","Alpha_2009/1","Alpha_2009/2","Alpha_2009/3","Alpha_2009/4","Alpha_2009/5","Alpha_2009/6","Alpha_2009/7","Alpha_2009/8","Alpha_2009/9","Alpha_2009/10","Alpha_2009/11","Alpha_2009/12","Alpha_2010/1","Alpha_2010/2","Alpha_2010/3","Alpha_2010/4","Alpha_2010/5","Alpha_2010/6","Alpha_2010/7","Alpha_2010/8","Alpha_2010/9","Alpha_2010/10","Alpha_2010/11","Alpha_2010/12","Alpha_2011/1","Alpha_2011/2","Alpha_2011/3","Alpha_2011/4","Alpha_2011/5","Alpha_2011/6","Alpha_2011/7","Alpha_2011/8","Alpha_2011/9","Alpha_2011/10","Alpha_2011/11","Alpha_2011/12","Alpha_2012/1","Alpha_2012/2","Alpha_2012/3","Alpha_2012/4","Alpha_2012/5","Alpha_2012/6","Alpha_2012/7","Alpha_2012/8","Alpha_2012/9","Alpha_2012/10","Alpha_2012/11","Alpha_2012/12","Alpha_2013/1","Alpha_2013/2","Alpha_2013/3","Alpha_2013/4","Alpha_2013/5","Alpha_2013/6","Alpha_2013/7","Alpha_2013/8","Alpha_2013/9","Alpha_2013/10","Alpha_2013/11","Alpha_2013/12"
1,0.00218147151764612,0.00106334451744834,-0.0019681417929239,-0.000823574158794361,0.00243356151514735,0.00408090042748908,0.00587845018340938,-0.00754423531725685,0.00219865144741354,0.00206013483365905,-0.000888211160036625,0.000255827822260705,-0.00245757056630845,-0.00105431036580249,0.000861808648424263,-0.00166366494327328,-0.002755953323848,0.00463730119399968,NA,NA,-0.0045390673765554,-0.00223348901454216,-0.00422054298265038,-0.00164313757767503,9.20357736748237e-05,-0.0012134901250289,0.000766771736903324,0.00717992264081329,0.000885894241346209,-0.00266274992218118,0.00108664989575309,0.000670348112080709,0.0018417832486004,0.0008869695250816,-0.00213870388516527,0.00318523075639325,NA,-0.00189534214143128,-0.00179884756471244,0.000398466609272868,-0.00314685198737346,0.00145143402899295,0.000813719658686704,-0.00221981222672721,-0.00496746906286204,0.00115033993371599,0.00137260094514405,-0.000344562105885125,0.00727298497242911,0.00499588138868143,-8.79160091863645e-05,-0.00180650371824994,-0.00378724025988047,-0.000492565876163044,-0.00337831477708866,0.00179044799569637,0.00100953857798228,0.00960165616059512,-0.00446821412199467,-0.0035573799244862
2,-0.00111843400814123,-0.00202153432706037,-0.00059434129214531,0.000410930389836246,0.00425902736782906,0.00498993401689598,-0.00505685286560629,-0.00532027931499157,0.0022788364707911,-0.00148077190311908,-0.00312674438741338,-0.00344558514246013,-0.00476888955040442,-0.00170246338116692,-0.000796739528216844,-0.00529438692678277,0.0015614324302193,0.000787245715835145,0.00629041617208483,-0.00211474533223042,-0.000688009523277279,0.00762724528579641,-0.00681322326044878,0.00162725020232931,0.0021602513467847,-0.00542886193919729,0.00284143489880382,0.000338024447386268,-0.00130218132687098,0.00287174873274846,-0.00151563142480204,0.00131723846550388,-0.00106661100862531,0.00359862261675555,-0.00366847072824434,0.0076871511966926,0.000427858945086821,-0.00215277759985022,0.00187019042604921,0.000912508996735275,0.000374927006111138,0.000620145261009687,0.00381805892652662,-0.00511653341905287,0.00111328620858648,1.27568467365081e-05,0.0057655842056147,0.00306141475909828,NA,-0.00106727841432391,-0.00226225771547158,0.00252974018692301,-0.00077775026009227,0.00307807005804561,-0.00289471009482312,-0.00276460629719695,-0.00569958847648778,0.00121558408706787,-0.00455565866959593,-0.0019836773019069
4,0.00793961126061228,0.000229610308016993,0.00816831376392265,0.00632429927002011,0.00117103583763384,0.00876911318998803,-0.00518074395570165,0.00112167141784974,0.0109647344443742,0.00433960595823325,NA,NA,NA,NA,0.00323516034066861,-0.000452047578022735,-0.00238036685623801,0.00101420877551075,0.00126894457599424,0.00593408803496388,4.65518555909047e-06,0.000980805046699978,0.00480749512259168,-0.00225466157060297,0.000869780702185205,0.00816074061520564,-0.00128258421639135,-0.000692550664576308,0.00258031211059698,0.000436395951949609,0.00481636035468695,-0.00225140590545397,-0.00264730157988108,0.000457453757743004,0.00246276753062895,-0.00744355119841051,-0.000887641606799843,0.000768263297441674,-0.00149181957295711,-0.00300042579954454,0.00489536719236818,-0.002019989148535,0.00127019306594017,0.00169434755226771,-7.02602975467394e-05,0.0013864434934319,-0.00102223791683774,-0.0036610405202299,0.00258570683119516,0.00560310879962926,-0.00044676456233775,0.00706782205231448,0.00412974969602778,0.00298689208971335,-0.000664642519491859,0.00925539663172151,0.000260149100964913,-0.00326267387191707,0.00179540794502622,-5.84910022220533e-05
5,-0.000873921401958718,0.00236823841362281,0.00576965406018703,-0.00609800620546571,0.00567049061483642,-0.00507807968786022,-0.00100357126144129,0.000796811425404117,0.00155276975567104,0.00112580420808076,0.0157227314304981,-0.00327525575056331,0.000797381277784212,0.000158101307008508,0.00239007049756094,-0.00536163809314661,0.00216721242206265,-0.00105598732219582,0.00143068864836256,0.000786913054397807,-0.00629429847670584,-0.00395963620221038,-0.00388783337454259,-0.00161507208462017,-0.000451827711157486,0.014325150098715,-0.00170366457872394,-0.00114314517325892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0052215927653609,-0.00825721277354353,0.00199357886137327,0.00288117773049133,1.99896419618693e-05,0.00181929036312608,0.000424970822754726,0.0029642441518809,-0.00114329068053722,-0.00262975598717489,-0.00197452028043551,-0.000596939146500201,-0.000584508387088068,-0.00296475421303912,-0.00285223517324754,0.00560711442007831,-0.00544457724658515,0.00552144182247798,-0.00128093354500137,-0.00087269075619412
6,-0.00242898698866396,0.00528701645418048,0.00245733007432895,0.00317274331693009,0.00298396630897924,-0.00262457423909204,-0.0073892064994604,-0.00283949733068314,-0.00266364879051439,0.00111011412115524,0.00148857181875815,-0.00580624112681024,-0.00164446149942038,0.00188417096687054,0.00549874636254809,-0.00658459360258256,-0.000130036215998498,0.00365423653155537,0.0163768470589616,-0.00603058349673584,-0.00534977382617746,-0.00357528030190745,-0.00164821015381453,0.00250019913000841,0.00176038766048269,-0.00308172092651172,0.00386184349669559,0.00229070885930971,0.000687321056647426,0.00219943566915281,6.43433595876039e-05,-0.000566730916400274,0.00130893223914582,0.00136866020689896,-0.00251424235156108,-0.000514900226934641,0.00323893332461841,0.00422519344463643,0.00557508302381714,0.00116982596188469,-0.00232959920906112,-0.00138889218458699,0.00249195181733975,0.000580226851727948,-0.00125549686980946,0.00252857559933746,0.00297143835706288,0.00430245306391031,0.00114018217429652,-0.00515633585604051,-0.00349827887154174,7.01295033906236e-05,0.00300160713371719,0.0096439756305692,-0.00341356833292325,0.00632801805215196,-0.00528712176275,0.00323455588969017,0.0100706406045682,-0.00510754468464056
7,0.00270724417516744,0.00563099845492367,-0.00175710920595613,0.00227996819819864,-0.00323026703518171,0.000976143642878326,0.00650227861560595,0.0100201817785726,-0.00327496217614511,-0.00264260438785114,0.00191004964718379,-0.00391456660420062,0.00523865258411608,0.00607049681859459,-0.00205241278346117,0.00659775445718497,-0.00397692858903589,0.00460510960822591,0.000330829631284831,-0.000241418456324056,0.00236548197972043,-0.00369418543809212,0.00416244614593146,-0.000639175987180515,-0.00076274727750285,-0.000831783301526142,0.000790998639743148,0.00449817741043711,-0.00320422310794581,-0.00250208199410781,0.00179437398585338,0.00141600909696928,0.000561424226249533,0.00226048845457106,0.00229293403193822,-0.00728851550089557,0.0026171546125647,0.00815371595579221,0.015703818171494,-0.00277360448859516,0.015509094822461,0.00241179652269467,0.0100500039116503,-0.000820831810195795,NA,0.00282912284664157,-0.00461902819544455,0.00203000750402357,0.00928782905231105,0.00394950133953435,-0.0116095332588781,0.00316764566971853,-0.000792215424524385,-0.00532388511147096,0.00198109877052725,-0.000263953518191136,-0.00521252388505705,0.00566616095534413,-0.00211160474674018,0.000864959077208045
8,0.00922094429201492,0.000761395449093966,0.00587594660794361,-0.00464996780423137,-0.00036202767273136,0.00784380868769004,0.000395631625471198,-1.90857095964299e-05,-0.00274233653316538,0.00329357317877103,-0.000364703628516491,0.0159998936007567,NA,0.0103677422512668,0.00566920501052976,3.03319555966871e-05,NA,-0.0271617044254966,0.00123550556474514,0.00339917318368529,0.00303698697028275,-0.00849761240025679,0.000915127862086978,-0.000780943541316024,0.00135295802951179,0.00546806821298309,NA,0.00354317978832204,-0.000202758707366152,0.00388300352093679,0.00119231785620315,0.000123326619322057,-0.00131254401282989,0.000531577127618161,-0.00200573474371328,-0.00930195190635964,-0.00142331365663054,NA,NA,-0.0049066607831187,0.0069506528682801,0.00679214333495473,-0.00335536597604365,0.00832578999818613,-0.00436654765617692,0.000819231858309877,-0.00187245528161068,-0.000357883857903234,0.00641619791776602,0.00822368938118612,0.00481639331655194,-0.00335655943771184,0.0134107159062033,0.00927345617600374,0.00371360101855141,-0.00236130698458802,0.00368022120984457,0.0014313991535956,0.00103020870995201,-0.00279771201586277
9,0.0177220549154656,0.0126461729607637,-0.000153524281485546,-0.00316559544130049,-0.00261830423787867,0.0019916059160907,-0.0042383109077239,0.00791575204818378,-0.00106625078984071,0.00592650153479798,-0.00300112418820766,-0.00660388310002443,0.00238430585855525,0.00204323990654755,0.000847750836523552,0.00460083098220247,-0.000212831348981093,-0.000799368576717917,-0.00231833233433209,0.00307904351243112,0.00419841529761996,-0.00137976174093782,0.0160476340535494,0.00036546389649708,0.00617161491220274,0.01516150565579,-0.00926000355509738,-0.00026273205226578,-0.00136833976209428,0.00114849592881805,0.00570038667069531,0.00140176755562186,-0.000964907950703467,-0.00487858992317417,0.00711086962049924,-0.0131640634614759,0.00938228559618911,-0.0096274700058746,-0.00451805788602912,-0.0025257663088855,0.000628155745315541,-0.00218167757007652,-0.00125305402908891,0.00536355532243185,-0.000884323478812707,-0.000654689982398555,-0.00151194214566682,-0.00285391275133452,0.00091750787070484,-0.00501049894623018,0.00821943875449264,0.000872846391426929,0.00714547012021593,-0.000999407664310376,0.00254303343106711,-0.0051409524731935,-0.00136990224592618,-0.000389962317579465,-0.00332011348519411,0.000113276684966786
10,0.00393700993039208,0.00394929083697116,0.00883489878326457,0.00441951846600236,-0.0053262975960239,-0.00715423898963282,-0.00339855273261282,-0.00145923259188322,0.000849197411558598,0.00816540231316361,0.00225855315495787,0.00257889778318502,0.002308764013522,0.0060070574073964,0.00407088435468565,0.00502256254021779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0317336543053012,0.00689454848904035,0.00303932160321788,0.00647492390438075,0.00446847095111778,0.0158775234681929,NA,-0.0141220374735782,0.00617862300949193,NA,NA,NA,NA,NA,NA,NA,NA,0.0140034205233646,NA,0.0150053487609428,-0.00737385996078416,0.00503937527274917
11,0.00600992966929956,-0.00380335711638221,0.0153397938905794,0.0128408111374938,-0.00225405837425773,-0.00532103053267627,0.0038914429485297,0.00319357017777116,NA,NA,0.0109934918538292,-0.00526238947457299,0.00116592684344394,-0.00312471844359836,0.00775898768207924,-0.0098952203128904,3.00677625807823e-05,0.0111360754728041,NA,-0.00562189676104503,-0.00373260799765989,0.00337473493599849,-0.00634834103251531,-0.00203504317535639,0.00428640990255219,0.00225593633375161,0.00143197337275729,0.0110912986571557,0.0145320594027371,0.00306956912134314,-0.00322370213765402,-0.00364000887508174,0.000647324561574242,-0.00344233133126064,-0.00391933293993599,-0.0022419600080803,-0.00301358495494323,0.00593608818738908,-0.00337432200899093,0.00537544856054498,-0.0023523159520361,-0.00170411786462768,-0.00493404188115003,0.00270268852758007,-0.000270423505250156,0.00151390481126483,0.00392069821210745,0.000911058014669099,-0.00427542307958889,-0.0026094106845811,-0.00324502893180533,0.0124651570657149,0.00054362337142713,0.0119005601033255,-0.00233112062986282,0.00546261872414716,-0.0071953370513557,-0.00235882214799921,-0.0024655614113987,0.0020936585715874
