Stkcd,Stknme,EPS,CFOPS,NAPS,DAR,EM,CAR,CLR,GP,NPM,ROE,ROTA,CR,QR,ER,IT,ART,CAT,FAT,TTC,Nnindcd,WindInd
600000,浦发银行,1.83,4.963,9.5155,94.2888,17.5095,,,,41.3625,20.9481,1.177,,,16.7104,,,,8.8741,0.0285,CSRC货币金融服务,Wind银行
600004,白云机场,0.65,1.5623,6.2836,26.336,1.3575,19.3575,91.6902,38.9539,16.9283,10.6852,7.6128,0.8016,0.7793,0.3697,58.3172,7.0435,2.4881,0.5756,0.4497,CSRC航空运输业,Wind运输
600005,武钢股份,0.021,0.3819,3.5282,62.7699,2.686,26.3999,86.0534,5.4757,0.0449,0.5872,0.0422,0.4887,0.253,1.7401,5.9397,79.5584,3.6186,1.5304,0.9401,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600006,东风汽车,0.0109,-0.1815,2.9891,59.6065,2.4756,61.5214,86.6176,11.2716,0.7838,0.3626,0.7299,1.1916,0.9351,1.8548,6.2484,23.1498,1.4602,5.4633,0.9313,CSRC汽车制造业,Wind汽车与汽车零部件
600007,中国国贸,0.38,0.9726,4.6606,49.8863,1.9955,7.0814,18.1552,47.0658,19.3569,8.3738,4.0781,0.7819,0.744,0.9958,34.2388,12.1277,3.0504,1.3894,0.2107,CSRC房地产业,Wind房地产
600008,首创股份,0.2642,0.0298,2.5924,59.4012,2.4631,43.5815,55.1224,43.6103,22.0742,10.4798,3.6446,1.331,0.7791,2.2867,0.6264,3.5486,0.3791,0.8719,0.1651,CSRC水的生产和供应业,Wind公用事业Ⅱ
600009,上海机场,0.82,1.1326,8.1918,17.2912,1.2091,29.4283,25.6758,37.932,36.4019,10.1527,8.9662,6.6285,6.6069,0.2126,157.1384,5.2408,0.9272,0.4057,0.2463,CSRC航空运输业,Wind运输
600010,包钢股份,0.06,0.9852,2.6369,79.3816,4.85,44.7138,72.7931,7.6334,0.6991,1.9819,0.455,0.7738,0.3603,3.9065,2.3561,35.6485,1.3471,2.3284,0.6509,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600011,华能国际,0.42,1.9159,3.9544,74.7264,3.9567,13.6825,47.557,16.2952,5.115,11.109,2.6808,0.385,0.3081,3.4534,15.4161,9.0041,3.8524,0.8528,0.5241,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600012,皖通高速,0.459,0.7897,3.9451,35.4144,1.5483,8.9376,22.7044,62.6883,37.7083,11.8813,7.8177,1.1115,1.1076,0.6134,238.0213,,2.525,3.2224,0.2073,CSRC道路运输业,Wind运输
600015,华夏银行,1.44,13.8464,10.9047,94.9812,19.9251,,,,32.1685,18.4657,0.9364,,,18.9324,,,,5.5228,0.0291,CSRC货币金融服务,Wind银行
600016,民生银行,1.34,-0.7012,5.7491,94.7527,19.0574,,,,37.1522,25.6688,1.4081,,,18.6627,,,,9.8276,0.0379,CSRC货币金融服务,Wind银行
600017,日照港,0.26,0.3192,2.8132,34.6407,1.53,18.5646,64.9959,28.4355,16.8738,10.398,6.6797,0.8245,0.7819,0.5532,24.7172,12.5435,2.0446,0.6822,0.3959,CSRC水上运输业,Wind运输
600018,上港集团,0.2184,0.2875,2.0978,38.4765,1.6254,21.7037,48.2323,32.0709,20.5747,10.6792,6.8552,1.1695,0.9857,0.7021,9.6691,12.1319,1.5588,0.7814,0.3332,CSRC水上运输业,Wind运输
600019,宝钢股份,0.58,1.2957,6.4692,45.2588,1.8268,32.3669,84.7562,7.4587,5.4584,9.5339,4.6842,0.8438,0.4936,0.871,5.3454,24.6212,2.5773,1.9661,0.8598,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600020,中原高速,0.2313,0.8296,3.0243,78.0164,4.5488,10.2649,39.6455,53.396,13.2309,7.9147,1.7107,0.3319,0.2613,3.5635,2.3887,48.6173,1.1815,0.2249,0.1293,CSRC道路运输业,Wind运输
600021,上海电力,0.4138,1.5021,3.2674,68.1711,3.1418,13.7935,28.5272,17.3937,7.6506,13.7472,3.6441,0.7093,0.6274,3.0913,20.3971,7.7463,3.1625,0.8195,0.4763,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600022,山东钢铁,-0.6521,0.4804,1.9966,75.7358,4.1213,29.4052,90.4961,0.3817,-5.232,-38.2404,-9.2135,0.429,0.2738,3.1354,14.6696,34.5856,6.6665,2.5931,1.761,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600023,浙能电力,0.45,1.13,3.46,51.4935,2.0616,20.653,45.8653,15.0629,9.8258,13.563,5.8946,0.8745,0.7099,1.5077,11.5033,9.6651,2.8159,1.0848,0.5999,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600026,中海发展,0.0217,0.2873,6.9076,57.8546,2.3727,11.1672,18.8887,-0.9331,1.2349,0.3128,0.2517,1.0219,0.8742,1.4234,12.81,10.0358,1.8108,0.3051,0.2039,CSRC水上运输业,Wind运输
600027,华电国际,0.201,1.6663,2.6186,83.2019,5.9531,10.4264,41.1992,16.0054,3.2223,8.0082,1.2251,0.3042,0.2442,7.0939,16.2218,10.3108,3.9449,0.6066,0.3802,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600028,中国石化,0.562,1.6524,5.9131,55.8555,2.2653,27.6404,70.7809,14.853,2.3837,12.8564,5.587,0.6991,0.2565,1.357,11.2514,39.7677,8.2876,4.8247,2.3438,CSRC石油和天然气开采业,Wind能源Ⅱ
600029,南方航空,0.27,1.3633,3.3348,72.2122,3.5987,11.7808,46.1914,15.3237,3.7395,8.1089,2.793,0.3532,0.3173,3.1429,51.6729,49.8565,5.5957,1.0869,0.7469,CSRC航空运输业,Wind运输
600030,中信证券,0.38,-1.7339,7.8484,48.5576,1.9439,,,,36.8295,4.8973,2.719,,,0.9463,,,,3.5126,0.0738,CSRC资本市场服务,Wind多元金融
600031,三一重工,0.75,0.7482,3.0314,61.8167,2.6189,61.8714,56.9481,31.747,12.835,26.6439,10.384,1.7575,1.2943,1.7311,3.4285,3.5641,1.2714,3.6807,0.809,CSRC专用设备制造业,Wind资本货物
600033,福建高速,0.15,0.5987,2.6378,54.7878,2.2118,5.4926,28.8046,66.5761,23.0587,5.7386,2.8259,0.348,0.3449,1.4964,134.0569,7.2848,3.1464,0.1328,0.1226,CSRC道路运输业,Wind运输
600035,楚天高速,0.21,0.7096,3.5767,68.2214,3.1468,18.5356,22.3489,62.3466,20.4651,5.9706,1.8299,1.2157,1.2157,2.4176,,1280.7819,0.5546,2.3234,0.0894,CSRC道路运输业,Wind运输
600036,招商银行,2.1,11.5733,9.2845,94.1199,17.0065,,,,39.934,24.7823,1.4597,,,16.0122,,,,6.3817,0.0366,CSRC货币金融服务,Wind银行
600037,歌华有线,0.2805,0.8386,5.1941,47.1452,1.892,32.5301,22.3541,6.5013,13.5213,5.4953,2.764,3.0867,2.9984,0.8926,15.9562,87.6883,0.6188,0.3957,0.2044,CSRC电信、广播电视和卫星传输服务,Wind媒体Ⅱ
600038,哈飞股份,0.4979,-1.3215,11.2386,67.9846,3.1235,91.6709,100,13.5276,4.043,7.4511,2.8475,1.3484,0.4435,2.1235,1.0376,4.1754,0.7877,21.7343,0.7043,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
600039,四川路桥,0.6451,0.5733,3.6713,86.5607,7.4409,50.4232,67.3404,11.1014,2.8466,27.2575,3.3112,0.865,0.4513,7.7366,4.0148,39.8838,2.225,12.3801,1.1632,CSRC土木工程建筑业,Wind资本货物
