Excgflg,Mktflg,Date,Rmrf,Smb,Hml
0,A,2009/1/5,0.0398,0.0072,0.0081
0,A,2009/1/6,0.0325,0.0053,0.0047
0,A,2009/1/7,-0.0021,0.0079,-0.0045
0,A,2009/1/8,-0.0227,-0.0053,-0.0024
0,A,2009/1/9,0.0204,0.0082,0.0007
0,A,2009/1/12,0.0044,0.0101,-0.0022
0,A,2009/1/13,-0.0249,-0.0019,0.0076
0,A,2009/1/14,0.0427,0.0029,-0.0025
0,A,2009/1/15,0.0034,0.0081,-0.0032
0,A,2009/1/16,0.0145,-0.0102,0.0016
0,A,2009/1/19,0.0075,-0.0061,0.0027
0,A,2009/1/20,0.0087,0.0045,-0.0013
0,A,2009/1/21,-0.0026,0.0032,-0.0046
0,A,2009/1/22,0.0129,-0.0009,-0.0016
0,A,2009/1/23,-0.0046,-0.0042,0.0037
0,A,2009/2/2,0.0184,0.0105,-0.0036
0,A,2009/2/3,0.0257,0.0069,-0.0022
0,A,2009/2/4,0.0251,-0.0002,0.0015
0,A,2009/2/5,-0.0096,0,0.0026
0,A,2009/2/6,0.042,0.0014,-0.0002
0,A,2009/2/9,0.0282,-0.0032,-0.0106
0,A,2009/2/10,0.0175,0.0078,-0.0059
0,A,2009/2/11,0.0026,0.0022,0.0001
0,A,2009/2/12,0.0021,0.0143,-0.0028
0,A,2009/2/13,0.0356,-0.0013,-0.0028
0,A,2009/2/16,0.0242,-0.002,0.0089
0,A,2009/2/17,-0.0347,-0.0045,-0.0066
0,A,2009/2/18,-0.0445,0.0075,-0.0102
0,A,2009/2/19,0.0139,0.0004,0.0056
0,A,2009/2/20,0.0243,0.0072,0.0022
0,A,2009/2/23,0.0297,0.0075,-0.0024
0,A,2009/2/24,-0.0453,0.0017,0.0024
0,A,2009/2/25,0.0018,0.017,0.0067
0,A,2009/2/26,-0.0572,-0.0091,0.0055
0,A,2009/2/27,-0.0361,-0.0246,-0.0011
0,A,2009/3/2,0.0154,0.0077,-0.0008
0,A,2009/3/3,-0.0044,0.0134,0.0009
0,A,2009/3/4,0.0658,-0.0037,-0.0042
0,A,2009/3/5,0.0087,0.0076,0.0045
0,A,2009/3/6,-0.0077,0.0027,-0.0022
0,A,2009/3/9,-0.04,-0.0082,0.001
0,A,2009/3/10,0.0205,0.0077,-0.0009
0,A,2009/3/11,-0.0076,0.0051,-0.0015
0,A,2009/3/12,-0.0006,0.0053,-0.0005
0,A,2009/3/13,-0.0062,-0.0008,-0.0004
0,A,2009/3/16,0.0159,0.0027,-0.0028
0,A,2009/3/17,0.036,-0.0026,-0.0034
0,A,2009/3/18,0.0068,-0.0003,-0.0025
0,A,2009/3/19,0.0218,-0.0013,-0.0027
0,A,2009/3/20,-0.0024,-0.0086,-0.0024
0,A,2009/3/23,0.0245,-0.0027,-0.0006
0,A,2009/3/24,0.0064,-0.0005,0.005
0,A,2009/3/25,-0.0227,0.0057,-0.0045
0,A,2009/3/26,0.0308,-0.0021,0.0001
0,A,2009/3/27,0.0084,-0.0018,0.0054
0,A,2009/3/30,-0.0026,0.0092,-0.0021
0,A,2009/3/31,0.0102,-0.0023,-0.0045
0,A,2009/4/1,0.0157,0.0002,-0.0022
0,A,2009/4/2,0.0077,-0.0053,-0.0003
0,A,2009/4/3,-0.0049,0.0018,0.0016
0,A,2009/4/7,0.0054,0.012,-0.0014
0,A,2009/4/8,-0.0375,0.0047,-0.0017
0,A,2009/4/9,0.0169,0.0056,0.0002
0,A,2009/4/10,0.0324,-0.0036,-0.0077
0,A,2009/4/13,0.021,-0.0089,0.0045
0,A,2009/4/14,0.0116,0.0048,0.0043
0,A,2009/4/15,0.0077,0.0057,0.0015
0,A,2009/4/16,0.0016,0.0059,-0.0001
0,A,2009/4/17,-0.0132,-0.0001,0.0013
0,A,2009/4/20,0.0241,0.002,-0.0015
0,A,2009/4/21,-0.0085,0.0073,0.0065
0,A,2009/4/22,-0.0418,-0.006,0.0087
0,A,2009/4/23,0.0066,-0.0048,-0.0026
