date	rtn
20090105	0.03589112
20090106	0.03177975
20090107	-0.00598106
20090108	-0.02236456
20090109	0.01609119
20090112	0.00120936
20090113	-0.02316876
20090114	0.04213326
20090115	-0.00018924
20090116	0.01807793
20090119	0.01118475
20090120	0.00632059
20090121	-0.00171836
20090122	0.01129737
20090123	-0.00580568
20090202	0.01199402
20090203	0.02520588
20090204	0.02726527
20090205	-0.007127
20090206	0.04012608
20090209	0.02654563
20090210	0.01310158
20090211	0.00188245
20090212	-0.00549088
20090213	0.03482233
20090216	0.0263352
20090217	-0.03125597
20090218	-0.04588541
20090219	0.00991722
20090220	0.01997468
20090223	0.0282214
20090224	-0.04506571
20090225	0.00104264
20090226	-0.04949984
20090227	-0.0226921
20090302	0.01129648
20090303	-0.01040343
20090304	0.06675536
20090305	0.00865151
20090306	-0.00795689
20090309	-0.03675795
20090310	0.01736639
20090311	-0.00910397
20090312	-0.00210775
20090313	-0.00463962
20090316	0.01640957
20090317	0.03604106
20090318	0.00441354
20090319	0.02139627
20090320	-0.00114163
20090323	0.02502689
20090324	0.00507502
20090325	-0.02057689
20090326	0.03267356
20090327	0.0077184
20090330	-0.00577847
20090331	0.00937818
20090401	0.01612176
20090402	0.0110587
20090403	-0.00229002
20090407	0.00250924
20090408	-0.03787423
20090409	0.01545566
20090410	0.03092542
20090413	0.02349809
20090414	0.0076604
20090415	0.00378053
20090416	0.00004466
20090417	-0.01355359
20090420	0.02149629
20090421	-0.01190322
20090422	-0.03706306
20090423	0.00670735
20090424	-0.00796974
20090427	-0.02316461
20090428	0.00208492
20090429	0.03448043
20090430	0.00673993
20090504	0.03483509
20090505	0.00468261
20090506	0.01392367
20090507	0.0007595
20090508	0.00800121
20090511	-0.02290963
20090512	0.02320461
20090513	0.00912657
20090514	-0.00760836
20090515	0.00126047
20090518	0.00516788
20090519	0.01049965
20090520	-0.00958072
20090521	-0.02234728
20090522	-0.00339271
20090525	0.00439307
20090526	-0.01197361
20090527	0.0146888
20090601	0.03573926
20090602	0.00236501
20090603	0.02592929
20090604	0.00488537
